org_code,org_name,icb_code,icb_name,region,method,evidence,source
8J094,Badger Ltd,QHL,NHS Birmingham And Solihull Integrated Care Board,MIDLANDS,earlier_mapping,ICB QHL in 2026-04/System-Mapping.xls,2026-04/System-Mapping.xls
AC008,Rossendale Minor Injuries Unit,QE1,NHS Lancashire And South Cumbria Integrated Care Board,NORTH WEST,legacy_stp,STP Lancashire and South Cumbria,2026-08/Acute-Trust-Attribution-File.xls
AF002,PURLEY MIU,QWE,NHS South West London Integrated Care Board,LONDON,legacy_stp,STP South West London,2026-08/Acute-Trust-Attribution-File.xls
AF003,PARKWAY MIU,QWE,NHS South West London Integrated Care Board,LONDON,legacy_stp,STP South West London,2026-08/Acute-Trust-Attribution-File.xls
ATQ02,WALSALL URGENT CARE CENTRE (COMMUNITY SITE),QUA,NHS Black Country Integrated Care Board,MIDLANDS,legacy_stp,STP The Black Country,2026-08/Acute-Trust-Attribution-File.xls
AXG,Wiltshire Health & Care,QOX,"NHS Bath And North East Somerset, Swindon And Wiltshire Integrated Care Board",SOUTH WEST,earlier_mapping,ICB QOX in 2025-04/System-Mapping.xls,2025-04/System-Mapping.xls
C82010,Oakham Medical Practice,QK1,"NHS Leicester, Leicestershire And Rutland Integrated Care Board",MIDLANDS,earlier_mapping,ICB QK1 in 2023-08/Trust-ICB-Attribution-File.xls,2023-08/Trust-ICB-Attribution-File.xls
E84068,THE RIDGEWAY SURGERY,Z9B2Z,NHS West and North London Integrated Care Board,LONDON,legacy_stp,STP North West London,2026-08/Acute-Trust-Attribution-File.xls
E84069,BELMONT HEALTH CENTRE,Z9B2Z,NHS West and North London Integrated Care Board,LONDON,legacy_stp,STP North West London,2026-08/Acute-Trust-Attribution-File.xls
F84747,THE BARKANTINE PRACTICE,QMF,NHS North East London Integrated Care Board,LONDON,legacy_stp,STP North East London,2026-08/Acute-Trust-Attribution-File.xls
G82071,DR JM RIBCHESTER & PARTNERS,QKS,NHS Kent And Medway Integrated Care Board,SOUTH EAST,legacy_stp,STP Kent & Medway,2026-08/Acute-Trust-Attribution-File.xls
M85813,BIRMINGHAM WIC,QHL,NHS Birmingham And Solihull Integrated Care Board,MIDLANDS,legacy_stp,STP Birmingham and Solihull,2026-08/Acute-Trust-Attribution-File.xls
NAX,EAST COAST COMMUNITY HEALTHCARE C.I.C,T6Y0W,NHS Norfolk and Suffolk Integrated Care Board,EAST OF ENGLAND,legacy_stp,STP Suffolk and North East Essex,2026-08/Acute-Trust-Attribution-File.xls
NDA55,WOKING WALK IN CENTRE,S9B9J,NHS Surrey and Sussex Integrated Care Board,SOUTH EAST,legacy_stp,STP Surrey Heartlands,2026-08/Acute-Trust-Attribution-File.xls
NDA56,WEYBRIDGE WALK IN CENTRE,S9B9J,NHS Surrey and Sussex Integrated Care Board,SOUTH EAST,legacy_stp,STP Surrey Heartlands,2026-08/Acute-Trust-Attribution-File.xls
NJS05,LOUGHBOROUGH URGENT CARE CENTRE,QK1,"NHS Leicester, Leicestershire And Rutland Integrated Care Board",MIDLANDS,legacy_stp,"STP Leicester, Leicestershire and Rutland",2026-08/Acute-Trust-Attribution-File.xls
NL7,Assura Vertis Urgent Care Centres (Birmingham),QHL,NHS Birmingham And Solihull Integrated Care Board,MIDLANDS,earlier_mapping,ICB QHL in 2026-04/System-Mapping.xls,2026-04/System-Mapping.xls
NLO01,SUNDERLAND GP OUT OF HOURS,QHM,NHS North East And North Cumbria Integrated Care Board,NORTH EAST AND YORKSHIRE,legacy_stp,"STP Northumberland, Tyne and Wear",2026-08/Acute-Trust-Attribution-File.xls
NLO09,MELTON MOWBRAY URGENT CARE CENTRE,QK1,"NHS Leicester, Leicestershire And Rutland Integrated Care Board",MIDLANDS,legacy_stp,"STP Leicester, Leicestershire and Rutland",2026-08/Acute-Trust-Attribution-File.xls
NLO10,OADBY & WIGSTON URGENT CARE CENTRE,QK1,"NHS Leicester, Leicestershire And Rutland Integrated Care Board",MIDLANDS,legacy_stp,"STP Leicester, Leicestershire and Rutland",2026-08/Acute-Trust-Attribution-File.xls
NLO11,MARKET HARBOROUGH URGENT CARE CENTRE,QK1,"NHS Leicester, Leicestershire And Rutland Integrated Care Board",MIDLANDS,legacy_stp,"STP Leicester, Leicestershire and Rutland",2026-08/Acute-Trust-Attribution-File.xls
NLO12,OAKHAM URGENT CARE CENTRE,QK1,"NHS Leicester, Leicestershire And Rutland Integrated Care Board",MIDLANDS,legacy_stp,"STP Leicester, Leicestershire and Rutland",2026-08/Acute-Trust-Attribution-File.xls
NMH01,NORWICH PRACTICES LTD (CASTLE MALL),T6Y0W,NHS Norfolk and Suffolk Integrated Care Board,EAST OF ENGLAND,legacy_stp,STP Norfolk & Waveney,2026-08/Acute-Trust-Attribution-File.xls
NNF18,Withernsea Hospital,QOQ,NHS Humber And North Yorkshire Integrated Care Board,NORTH EAST AND YORKSHIRE,legacy_stp,"STP Humber, Coast and Vale",2026-08/Acute-Trust-Attribution-File.xls
