org_code,org_name,icb_code,icb_name,region,source,valid_from,published,last_updated
A5D4Q,NEMS UTC,QT1,NHS Nottingham And Nottinghamshire Integrated Care Board,MIDLANDS,2026-06/System-Mapping-Apr-26.xls,2026-04-01,2026-06-11,2026-05-14
AAH,Tetbury Hospital Trust Ltd,QR1,NHS Gloucestershire Integrated Care Board,SOUTH WEST,2026-06/System-Mapping-Apr-26.xls,2026-04-01,2026-06-11,2026-05-14
ACH01,Whitstable Medical Practice,QKS,NHS Kent And Medway Integrated Care Board,SOUTH EAST,2026-06/System-Mapping-Apr-26.xls,2026-04-01,2026-06-11,2026-05-14
AD913,Beckenham Beacon Ucc,QKK,NHS South East London Integrated Care Board,LONDON,2026-06/System-Mapping-Apr-26.xls,2026-04-01,2026-06-11,2026-05-14
AJN,Workington Health Limited,QHM,NHS North East And North Cumbria Integrated Care Board,NORTH EAST AND YORKSHIRE,2026-06/System-Mapping-Apr-26.xls,2026-04-01,2026-06-11,2026-05-14
AQM01,Faversham Medical Practice MIU,QKS,NHS Kent And Medway Integrated Care Board,SOUTH EAST,2026-06/System-Mapping-Apr-26.xls,2026-04-01,2026-06-11,2026-05-14
AQN04,Phl Lymington Utc,QRL,NHS Hampshire And Isle Of Wight Integrated Care Board,SOUTH EAST,2026-06/System-Mapping-Apr-26.xls,2026-04-01,2026-06-11,2026-05-14
ARN03,Local Care Direct,QWO,NHS West Yorkshire Integrated Care Board,NORTH EAST AND YORKSHIRE,2026-06/System-Mapping-Apr-26.xls,2026-04-01,2026-06-11,2026-05-14
C82009,Market Harborough Med.Ctr,QK1,"NHS Leicester, Leicestershire And Rutland Integrated Care Board",MIDLANDS,2026-06/System-Mapping-Apr-26.xls,2026-04-01,2026-06-11,2026-05-14
C82038,Latham House Medical Practice,QK1,"NHS Leicester, Leicestershire And Rutland Integrated Care Board",MIDLANDS,2026-06/System-Mapping-Apr-26.xls,2026-04-01,2026-06-11,2026-05-14
C83023,Sleaford Medical Group,QJM,NHS Lincolnshire Integrated Care Board,MIDLANDS,2026-06/System-Mapping-Apr-26.xls,2026-04-01,2026-06-11,2026-05-14
DD401,Exmouth Minor Injury Unit,QJK,NHS Devon Integrated Care Board,SOUTH WEST,2026-06/System-Mapping-Apr-26.xls,2026-04-01,2026-06-11,2026-05-14
DJV01,Herne Bay Health Care LTD,QKS,NHS Kent And Medway Integrated Care Board,SOUTH EAST,2026-06/System-Mapping-Apr-26.xls,2026-04-01,2026-06-11,2026-05-14
DT301,Herts Urgent Care (Ascots Lane),S1Y5D,NHS Central East Integrated Care Board,EAST OF ENGLAND,2026-06/System-Mapping-Apr-26.xls,2026-04-01,2026-06-11,2026-05-14
G0Q0L,Barking Hospital UTC,QMF,NHS North East London Integrated Care Board,LONDON,2026-06/System-Mapping-Apr-26.xls,2026-04-01,2026-06-11,2026-05-14
G3P9C,Trowbridge Minor Injuries Unit,QOX,"NHS Bath And North East Somerset, Swindon And Wiltshire Integrated Care Board",SOUTH WEST,2026-06/System-Mapping-Apr-26.xls,2026-04-01,2026-06-11,2026-05-14
K6K0R,Harold Wood Polyclinic UTC,QMF,NHS North East London Integrated Care Board,LONDON,2026-06/System-Mapping-Apr-26.xls,2026-04-01,2026-06-11,2026-05-14
L83087,Okehampton Medical Centre,QJK,NHS Devon Integrated Care Board,SOUTH WEST,2026-06/System-Mapping-Apr-26.xls,2026-04-01,2026-06-11,2026-05-14
NDA57,Haslemere Minor Injuries Unit,S9B9J,NHS Surrey and Sussex Integrated Care Board,SOUTH EAST,2026-06/System-Mapping-Apr-26.xls,2026-04-01,2026-06-11,2026-05-14
NDJ,First Community Health And Care Cic,S9B9J,NHS Surrey and Sussex Integrated Care Board,SOUTH EAST,2026-06/System-Mapping-Apr-26.xls,2026-04-01,2026-06-11,2026-05-14
NLX,Sirona Care & Health,QUY,"NHS Bristol, North Somerset And South Gloucestershire Integrated Care Board",SOUTH WEST,2026-06/System-Mapping-Apr-26.xls,2026-04-01,2026-06-11,2026-05-14
NNF09,Bransholme Health Centre,QOQ,NHS Humber And North Yorkshire Integrated Care Board,NORTH EAST AND YORKSHIRE,2026-06/System-Mapping-Apr-26.xls,2026-04-01,2026-06-11,2026-05-14
NNF16,Bridlington Hospital,QOQ,NHS Humber And North Yorkshire Integrated Care Board,NORTH EAST AND YORKSHIRE,2026-06/System-Mapping-Apr-26.xls,2026-04-01,2026-06-11,2026-05-14
NNF76,The Wilberforce Health Centre,QOQ,NHS Humber And North Yorkshire Integrated Care Board,NORTH EAST AND YORKSHIRE,2026-06/System-Mapping-Apr-26.xls,2026-04-01,2026-06-11,2026-05-14
