source,financial_year,period,valid_from,published,last_updated,org_code,org_name,icb_code,icb_name,region,region_label
2023-02/Trust-ICB-Attribution-File.xls,2022-23,2023-01,2022-07-01,2023-02-08,2022-06-26,8J094,Badger Ltd,QHL,NHS Birmingham And Solihull Integrated Care Board,LEGACY,Midlands and East of England Commissioning Region
2023-02/Trust-ICB-Attribution-File.xls,2022-23,2023-01,2022-07-01,2023-02-08,2022-06-26,AAH,Tetbury Hospital Trust Ltd,QR1,NHS Gloucestershire Integrated Care Board,LEGACY,South of England Commissioning Region
2023-02/Trust-ICB-Attribution-File.xls,2022-23,2023-01,2022-07-01,2023-02-08,2022-06-26,ACH01,Whitstable Medical Practice,QKS,NHS Kent And Medway Integrated Care Board,LEGACY,South of England Commissioning Region
2023-02/Trust-ICB-Attribution-File.xls,2022-23,2023-01,2022-07-01,2023-02-08,2022-06-26,AD913,Beckenham Beacon Ucc,QKK,NHS South East London Integrated Care Board,LONDON,London Commissioning Region
2023-02/Trust-ICB-Attribution-File.xls,2022-23,2023-01,2022-07-01,2023-02-08,2022-06-26,AJN,Workington Health Limited,QHM,NHS North East And North Cumbria Integrated Care Board,LEGACY,North of England Commissioning Region
2023-02/Trust-ICB-Attribution-File.xls,2022-23,2023-01,2022-07-01,2023-02-08,2022-06-26,AQN04,Phl Lymington Utc,QRL,NHS Hampshire And Isle Of Wight Integrated Care Board,LEGACY,South of England Commissioning Region
2023-02/Trust-ICB-Attribution-File.xls,2022-23,2023-01,2022-07-01,2023-02-08,2022-06-26,ARN03,Local Care Direct,QWO,NHS West Yorkshire Integrated Care Board,LEGACY,North of England Commissioning Region
2023-02/Trust-ICB-Attribution-File.xls,2022-23,2023-01,2022-07-01,2023-02-08,2022-06-26,AXG,Wiltshire Health & Care,QOX,"NHS Bath And North East Somerset, Swindon And Wiltshire Integrated Care Board",LEGACY,South of England Commissioning Region
2023-02/Trust-ICB-Attribution-File.xls,2022-23,2023-01,2022-07-01,2023-02-08,2022-06-26,C82009,Market Harborough Med.Ctr,QK1,"NHS Leicester, Leicestershire And Rutland Integrated Care Board",LEGACY,Midlands and East of England Commissioning Region
2023-02/Trust-ICB-Attribution-File.xls,2022-23,2023-01,2022-07-01,2023-02-08,2022-06-26,C82010,Oakham Medical Practice,QK1,"NHS Leicester, Leicestershire And Rutland Integrated Care Board",LEGACY,Midlands and East of England Commissioning Region
2023-02/Trust-ICB-Attribution-File.xls,2022-23,2023-01,2022-07-01,2023-02-08,2022-06-26,C82038,Latham House Medical Practice,QK1,"NHS Leicester, Leicestershire And Rutland Integrated Care Board",LEGACY,Midlands and East of England Commissioning Region
2023-02/Trust-ICB-Attribution-File.xls,2022-23,2023-01,2022-07-01,2023-02-08,2022-06-26,C83023,Sleaford Medical Group,QJM,NHS Lincolnshire Integrated Care Board,LEGACY,Midlands and East of England Commissioning Region
2023-02/Trust-ICB-Attribution-File.xls,2022-23,2023-01,2022-07-01,2023-02-08,2022-06-26,DD401,Exmouth Minor Injury Unit,QJK,NHS Devon Integrated Care Board,LEGACY,South of England Commissioning Region
2023-02/Trust-ICB-Attribution-File.xls,2022-23,2023-01,2022-07-01,2023-02-08,2022-06-26,DT301,Herts Urgent Care (Ascots Lane),QM7,NHS Hertfordshire And West Essex Integrated Care Board,EAST OF ENGLAND,East of England Commissioning Region
2023-02/Trust-ICB-Attribution-File.xls,2022-23,2023-01,2022-07-01,2023-02-08,2022-06-26,L83087,Okehampton Medical Centre,QJK,NHS Devon Integrated Care Board,LEGACY,South of England Commissioning Region
2023-02/Trust-ICB-Attribution-File.xls,2022-23,2023-01,2022-07-01,2023-02-08,2022-06-26,NDA57,Haslemere Minor Injuries Unit,QXU,NHS Surrey Heartlands Integrated Care Board,LEGACY,South of England Commissioning Region
2023-02/Trust-ICB-Attribution-File.xls,2022-23,2023-01,2022-07-01,2023-02-08,2022-06-26,NDJ,First Community Health And Care Cic,QNX,NHS Sussex Integrated Care Board,LEGACY,South of England Commissioning Region
2023-02/Trust-ICB-Attribution-File.xls,2022-23,2023-01,2022-07-01,2023-02-08,2022-06-26,NL7,Assura Vertis Urgent Care Centres (Birmingham),QHL,NHS Birmingham And Solihull Integrated Care Board,LEGACY,Midlands and East of England Commissioning Region
2023-02/Trust-ICB-Attribution-File.xls,2022-23,2023-01,2022-07-01,2023-02-08,2022-06-26,NLX,Sirona Care & Health,QUY,"NHS Bristol, North Somerset And South Gloucestershire Integrated Care Board",LEGACY,South of England Commissioning Region
2023-02/Trust-ICB-Attribution-File.xls,2022-23,2023-01,2022-07-01,2023-02-08,2022-06-26,NNF09,Bransholme Health Centre,QOQ,NHS Humber And North Yorkshire Integrated Care Board,LEGACY,North of England Commissioning Region
2023-02/Trust-ICB-Attribution-File.xls,2022-23,2023-01,2022-07-01,2023-02-08,2022-06-26,NNF76,The Wilberforce Health Centre,QOQ,NHS Humber And North Yorkshire Integrated Care Board,LEGACY,North of England Commissioning Region
2023-02/Trust-ICB-Attribution-File.xls,2022-23,2023-01,2022-07-01,2023-02-08,2022-06-26,NNF94,East Riding Community Hospital,QOQ,NHS Humber And North Yorkshire Integrated Care Board,LEGACY,North of England Commissioning Region
2023-02/Trust-ICB-Attribution-File.xls,2022-23,2023-01,2022-07-01,2023-02-08,2022-06-26,NNFA7,Goole & District Hospital,QOQ,NHS Humber And North Yorkshire Integrated Care Board,LEGACY,North of England Commissioning Region
2023-02/Trust-ICB-Attribution-File.xls,2022-23,2023-01,2022-07-01,2023-02-08,2022-06-26,NNJ,Dhu Health Care C.I.C,QJ2,NHS Derby And Derbyshire Integrated Care Board,LEGACY,Midlands and East of England Commissioning Region
2023-02/Trust-ICB-Attribution-File.xls,2022-23,2023-01,2022-07-01,2023-02-08,2022-06-26,NNJ07,Loughborough Urgent Care Centre,QK1,"NHS Leicester, Leicestershire And Rutland Integrated Care Board",LEGACY,Midlands and East of England Commissioning Region
2023-02/Trust-ICB-Attribution-File.xls,2022-23,2023-01,2022-07-01,2023-02-08,2022-06-26,NNJ0H,Llr Ea - The Merlyn Vaz Health & Social Care Centre,QK1,"NHS Leicester, Leicestershire And Rutland Integrated Care Board",LEGACY,Midlands and East of England Commissioning Region
2023-02/Trust-ICB-Attribution-File.xls,2022-23,2023-01,2022-07-01,2023-02-08,2022-06-26,NNJ12,Market Harborough,QK1,"NHS Leicester, Leicestershire And Rutland Integrated Care Board",LEGACY,Midlands and East of England Commissioning Region
2023-02/Trust-ICB-Attribution-File.xls,2022-23,2023-01,2022-07-01,2023-02-08,2022-06-26,NNJ13,Melton Mowbray,QK1,"NHS Leicester, Leicestershire And Rutland Integrated Care Board",LEGACY,Midlands and East of England Commissioning Region
2023-02/Trust-ICB-Attribution-File.xls,2022-23,2023-01,2022-07-01,2023-02-08,2022-06-26,NNJ14,Oadby,QK1,"NHS Leicester, Leicestershire And Rutland Integrated Care Board",LEGACY,Midlands and East of England Commissioning Region
2023-02/Trust-ICB-Attribution-File.xls,2022-23,2023-01,2022-07-01,2023-02-08,2022-06-26,NNJ15,Oakham,QK1,"NHS Leicester, Leicestershire And Rutland Integrated Care Board",LEGACY,Midlands and East of England Commissioning Region
2023-02/Trust-ICB-Attribution-File.xls,2022-23,2023-01,2022-07-01,2023-02-08,2022-06-26,NQT10,Assura Reading Llp,QU9,"NHS Buckinghamshire, Oxfordshire And Berkshire West Integrated Care Board",LEGACY,South of England Commissioning Region
2023-02/Trust-ICB-Attribution-File.xls,2022-23,2023-01,2022-07-01,2023-02-08,2022-06-26,NQT51,Station Plaza Health Centre,QNX,NHS Sussex Integrated Care Board,LEGACY,South of England Commissioning Region
2023-02/Trust-ICB-Attribution-File.xls,2022-23,2023-01,2022-07-01,2023-02-08,2022-06-26,NQT5F,Skelmersdale Walk In Centre,QE1,NHS Lancashire And South Cumbria Integrated Care Board,LEGACY,North of England Commissioning Region
2023-02/Trust-ICB-Attribution-File.xls,2022-23,2023-01,2022-07-01,2023-02-08,2022-06-26,NQT5H,Paulton Memorial Hospital,QOX,"NHS Bath And North East Somerset, Swindon And Wiltshire Integrated Care Board",LEGACY,South of England Commissioning Region
2023-02/Trust-ICB-Attribution-File.xls,2022-23,2023-01,2022-07-01,2023-02-08,2022-06-26,NQTE4,Summerfield Urgent Care Centre,QUA,NHS Black Country Integrated Care Board,LEGACY,Midlands and East of England Commissioning Region
2023-02/Trust-ICB-Attribution-File.xls,2022-23,2023-01,2022-07-01,2023-02-08,2022-06-26,NR3,Nottingham Citycare Partnership,QT1,NHS Nottingham And Nottinghamshire Integrated Care Board,LEGACY,Midlands and East of England Commissioning Region
