org_code,org_name,stp_name,region_label,source
RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",North East London,LONDON COMMISSIONING REGION,2026-08/Acute-Trust-Attribution-File.xls
R1H,BARTS HEALTH NHS TRUST,North East London,LONDON COMMISSIONING REGION,2026-08/Acute-Trust-Attribution-File.xls
AD913,BECKENHAM BEACON UCC,South East London,LONDON COMMISSIONING REGION,2026-08/Acute-Trust-Attribution-File.xls
RYX,CENTRAL LONDON COMMUNITY HEALTHCARE NHS TRUST,North West London,LONDON COMMISSIONING REGION,2026-08/Acute-Trust-Attribution-File.xls
RQM,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,North West London,LONDON COMMISSIONING REGION,2026-08/Acute-Trust-Attribution-File.xls
RJ6,CROYDON HEALTH SERVICES NHS TRUST,South West London,LONDON COMMISSIONING REGION,2026-08/Acute-Trust-Attribution-File.xls
Y02696,EDMONTON GP WALK IN CENTRE,North Central London,LONDON COMMISSIONING REGION,2026-08/Acute-Trust-Attribution-File.xls
NX122,EDRIDGE ROAD COMMUNITY HEALTH CENTRE,South West London,LONDON COMMISSIONING REGION,2026-08/Acute-Trust-Attribution-File.xls
RVR,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,South West London,LONDON COMMISSIONING REGION,2026-08/Acute-Trust-Attribution-File.xls
RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,South East London,LONDON COMMISSIONING REGION,2026-08/Acute-Trust-Attribution-File.xls
Y03082,HAROLD WOOD WALK IN CENTRE,North East London,LONDON COMMISSIONING REGION,2026-08/Acute-Trust-Attribution-File.xls
RQX,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,North East London,LONDON COMMISSIONING REGION,2026-08/Acute-Trust-Attribution-File.xls
RY9,HOUNSLOW AND RICHMOND COMMUNITY HEALTHCARE NHS TRUST,South West London,LONDON COMMISSIONING REGION,2026-08/Acute-Trust-Attribution-File.xls
RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,North West London,LONDON COMMISSIONING REGION,2026-08/Acute-Trust-Attribution-File.xls
RJZ,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,South East London,LONDON COMMISSIONING REGION,2026-08/Acute-Trust-Attribution-File.xls
