model,oyear,horizon,cov90,cov50,n,origins,region,assessed,in_band,target
b1_ets,2018,1,0.7746641963872163,0.43862899490504864,4318,9,assessable,True,False,all
b1_ets,2018,2,0.765730206640353,0.4179243092639889,4307,9,assessable,True,False,all
b1_ets,2018,3,0.7891425908667288,0.42847157502329913,4292,9,assessable,True,False,all
b1_ets,2018,4,0.7585884552465529,0.395653189997663,4279,9,assessable,True,False,all
b1_ets,2018,5,0.7699882766705745,0.4063305978898007,4265,9,assessable,True,False,all
b1_ets,2018,6,0.7900422733677783,0.43118835133865663,4258,9,assessable,True,False,all
b1_ets,2019,1,0.7847050512186506,0.43235605793006004,5662,12,assessable,True,False,all
b1_ets,2019,2,0.817068843151171,0.4515613910574876,5636,12,assessable,True,False,all
b1_ets,2019,3,0.8308076305936887,0.4720984132643965,5609,12,assessable,True,False,all
b1_ets,2019,4,0.8234030084000782,0.4711857784723579,5119,11,assessable,True,False,all
b1_ets,2019,5,0.8391548081069427,0.4855541181543769,4638,10,assessable,True,False,all
b1_ets,2019,6,0.832051898125901,0.4987986544930322,4162,9,assessable,True,False,all
b1_ets,2020,1,0.8055853920515574,0.46186895810955964,931,2,assessable,False,False,all
b1_ets,2020,2,0.8038793103448276,0.43103448275862066,464,1,assessable,False,False,all
b1_ets,2021,1,0.9247311827956989,0.5469039673711531,2697,6,assessable,True,True,all
b1_ets,2021,2,0.9322664681801265,0.5749906959434313,2687,6,assessable,True,False,all
b1_ets,2021,3,0.9515287099179717,0.7080536912751678,2682,6,assessable,True,False,all
b1_ets,2021,4,0.951865671641791,0.7093283582089552,2680,6,assessable,True,False,all
b1_ets,2021,5,0.9562616822429907,0.719626168224299,2675,6,assessable,True,False,all
b1_ets,2021,6,0.9568965517241379,0.7256371814092953,2668,6,assessable,True,False,all
b1_ets,2022,1,0.9125906639389995,0.5848986423656314,5377,12,assessable,True,True,all
b1_ets,2022,2,0.9198658218412226,0.5467759970182632,5366,12,assessable,True,True,all
b1_ets,2022,3,0.92472917444901,0.5636906985431454,5354,12,assessable,True,True,all
b1_ets,2022,4,0.9462949101796407,0.6279940119760479,5344,12,assessable,True,False,all
b1_ets,2022,5,0.958950328022493,0.6762886597938145,5335,12,assessable,True,False,all
b1_ets,2022,6,0.9634009009009009,0.7257882882882883,5328,12,assessable,True,False,all
b1_ets,2023,1,0.9229340761374187,0.6570102135561745,5385,12,assessable,True,True,all
b1_ets,2023,2,0.9494826536822885,0.6792452830188679,4929,11,assessable,True,False,all
b1_ets,2023,3,0.9613234965347641,0.7145092778895595,4473,10,assessable,True,False,all
b1_ets,2023,4,0.9639123942259831,0.7252364360378297,4018,9,assessable,True,False,all
b1_ets,2023,5,0.9607513316512476,0.751331651247547,3567,8,assessable,True,False,all
b1_ets,2023,6,0.9621309370988447,0.7830551989730423,3116,7,assessable,True,False,all
b1_ets+dtaci,2018,1,0.9214914312181566,0.5690134321445114,4318,9,assessable,True,True,all
b1_ets+dtaci,2018,2,0.909217552820989,0.5532853494311586,4307,9,assessable,True,True,all
b1_ets+dtaci,2018,3,0.928937558247903,0.5666356011183598,4292,9,assessable,True,True,all
