model,level,coh_gap_mean,coh_gap_max,wis_rel_m1,wis_att_all,wis_att_type1,wis_adm_via_ae,cov90,cov50,cov90_h1,cov90_h2,cov90_h3,cov90_h4,cov90_h5,cov90_h6,cov90_out,cov50_out,cov90_in,cov50_in,n
ETS + pooled,icb,0.039800099864635674,0.8199403181048385,7.907033928475549,1178548.7327774072,1247.0325425048723,282.56969183917477,0.894647134696886,0.5555555555555556,0.9232804232804233,0.8992374727668845,0.9098583877995643,0.8939393939393939,0.8762626262626263,0.8619791666666666,0.9306198559670782,0.5971579218106996,0.8037686809616634,0.450454840805718,21708
ETS + pooled,region,0.005829483642562784,0.15441011191730702,17.64736157634543,63982439.85725069,6533.678723608497,1092.1286669852273,0.8869936034115139,0.5688225538971807,0.9197278911564626,0.8907563025210085,0.9229691876750701,0.8759018759018758,0.8658008658008658,0.8422619047619048,0.9216269841269841,0.6164021164021164,0.7994987468671679,0.44862155388471175,4221
ETS + pooled,england,0.0030133600812007715,0.021540671654778167,34.32110212624551,3528083679.130287,72883.49927583025,7756.163090084917,0.8971807628524047,0.5953565505804311,0.9142857142857143,0.9313725490196079,0.9313725490196079,0.8888888888888888,0.8686868686868687,0.84375,0.9259259259259259,0.6342592592592593,0.8245614035087719,0.49707602339181284,603
ETS + pooled + MinT,icb,0.03838742957558703,0.8223613198706703,6.004097096817423,580612.4144667493,1186.459751572242,293.13571601947274,0.8820711258522204,0.5238621706283397,0.9206349206349206,0.9019607843137255,0.9000544662309368,0.8734567901234568,0.8543771043771043,0.8370949074074074,0.9344135802469136,0.5931069958847737,0.7498375568551007,0.3489278752436647,21708
ETS + pooled + MinT,region,0.00541524989213227,0.6742945201273791,3.8236178414119673,1180446.2411872782,5493.793300068514,1218.541579862688,0.92181947405828,0.5828002842928216,0.9605442176870749,0.9411764705882353,0.9481792717086834,0.9033189033189033,0.9004329004329005,0.8720238095238095,0.9861111111111112,0.6746031746031746,0.7593984962406015,0.3508771929824561,4221
ETS + pooled + MinT,england,0.0049835471199473486,0.27145567886246313,-0.2156930098005464,81880.68574792736,37005.17383542477,7715.723246696968,0.9270315091210614,0.6334991708126037,0.9714285714285714,0.9509803921568627,0.9509803921568627,0.9090909090909091,0.898989898989899,0.875,0.9976851851851852,0.7407407407407407,0.7485380116959064,0.36257309941520466,603
M1 + pooled,icb,0.02976735333174564,0.8458843460343319,0.0,1887.1899350517294,1063.4446842706002,292.8337128151101,0.9066703519439838,0.5485535286530311,0.9357142857142857,0.9074074074074074,0.920751633986928,0.8947811447811448,0.9031986531986532,0.875,0.9430941358024691,0.6278935185185185,0.8146523716699156,0.3481156595191683,21708
M1 + pooled,region,0.03575304729811276,0.4692861747454738,0.0,9713.809557944667,5301.608726038638,1367.2343041466556,0.8675669272684198,0.5103056147832267,0.9020408163265307,0.8739495798319328,0.8907563025210085,0.8528138528138528,0.86002886002886,0.8214285714285714,0.9146825396825397,0.5866402116402116,0.7485380116959064,0.31746031746031744,4221
M1 + pooled,england,0.03611508307513902,0.15288436274603145,0.0,91996.67493261668,52012.77738360562,12339.900055044654,0.8590476190476191,0.5371428571428571,0.8279569892473119,0.8666666666666667,0.8888888888888888,0.8850574712643678,0.8690476190476191,0.8148148148148148,0.9011299435028248,0.6864406779661016,0.7719298245614035,0.22807017543859648,525
M1 + pooled + MinT,icb,0.004923545606818926,0.3472970985127547,0.23063807305597872,2477.910387714628,1238.9748132865561,356.77511697934847,0.900359314538419,0.4626405011977151,0.9261904761904762,0.9125816993464052,0.9019607843137255,0.8846801346801347,0.8950617283950617,0.8790509259259259,0.9330632716049383,0.540380658436214,0.817738791423002,0.2662443144899285,21708
M1 + pooled + MinT,region,0.00032192554011322176,0.02396051948787057,0.13884729763575354,12088.438669226729,5764.7721036933435,1492.3968911862469,0.9381663113006397,0.5453683961146648,0.9659863945578231,0.9495798319327731,0.9467787114845938,0.9292929292929293,0.9307359307359307,0.9032738095238095,0.9854497354497355,0.6478174603174603,0.8187134502923976,0.28654970760233917,4221
