base,level,n_series,rel,rel_lo,rel_hi,rel_att_all,rel_att_type1,rel_adm_via_ae,rel_outside_covid,icb_improves,provider_within_2pct,H3
ETS,provider,232,34.490967125411785,11.356104673545863,66.92317980924773,24.30976151825958,0.03545947307218689,0.01537485473965261,0.07379776272493443,False,False,fails
ETS,icb,36,-0.5307806047668054,-0.9465269530170004,0.08038243936688963,-0.5318020109042945,0.026662552244225424,0.051302169750679694,0.14719789567678032,False,False,fails
ETS,region,7,-0.9828343931095873,-0.9995572468019776,-0.9533901687457031,-0.9829980216189733,-0.05471788596748206,0.06395815662349902,0.17879940148803541,False,False,fails
ETS,england,1,-0.9999445971643874,-0.9999445971643875,-0.9999445971643875,-0.9999652358354798,-0.35186733953051985,-0.0389793711393549,0.19174488304326642,False,False,fails
STL+ARIMA,provider,232,0.027044281096314515,0.010621157566705907,0.042415619112496784,0.01589439340432408,0.027027181275637302,0.04041606444267587,0.030812501865039144,False,False,fails
STL+ARIMA,icb,36,0.002709743727727032,-0.01460307413224717,0.018668481800435437,0.013704688703177759,-0.02710273088094428,0.04960326298371398,0.017307261388389117,False,False,fails
STL+ARIMA,region,7,-0.02662345976219893,-0.04103450012980633,-0.01066922919928634,0.010722839023086017,-0.092181325777418,-0.014267059229861268,0.042926482573415026,False,False,fails
STL+ARIMA,england,1,-0.07508665286048721,-0.07508665286048725,-0.07508665286048725,-0.03189902993836313,-0.16144404280563796,0.006535491714120045,-0.022494014196838163,False,False,fails
M1,provider,240,0.11587931329268386,0.08819399675621295,0.14760543157366357,0.09240212287189631,0.15140780430368972,0.24354231923843273,0.13838712594823277,False,False,fails
M1,icb,36,0.11140108496209433,0.10211251954191651,0.11992813676092882,0.14645857718084287,0.03875972442114728,0.16307729498114631,0.08427902414878985,False,False,fails
M1,region,7,0.02761790387536389,0.01615189282460027,0.03958438752887779,0.07247481977102188,-0.0445174952824291,0.004314389399821872,-0.044171104550661644,False,False,fails
M1,england,1,-0.029298464044142936,-0.029298464044142963,-0.029298464044142963,0.0038899380293611063,-0.08413280115489852,-0.051140487088842224,-0.13935173344905738,False,False,fails
