origin,series,horizon,period,adm_median,adm_outturn,p_breach,escalation_beds,occ_median,escalate_at_0.1,escalate_at_0.25,escalate_at_0.5,beds,c_bed_days_per_adm,quarter_start,occ_published
2023-10-01,R0A,1,2023-10-01,6145.115810975559,6316.0,0.08425,0.0,0.7342607273560481,False,False,False,2142.5274725274726,7.941730675796785,2023-10-01,0.9340444197723003
2023-10-01,R0A,2,2023-11-01,6225.390375544523,6179.0,0.132,0.0,0.7685119650064048,True,False,False,2142.5274725274726,7.941730675796785,2023-10-01,0.9340444197723003
2023-10-01,R0A,3,2023-12-01,6174.1851219091695,6219.0,0.1225,0.0,0.7457472294958831,True,False,False,2142.5274725274726,7.941730675796785,2023-10-01,0.9340444197723003
2023-10-01,R0B,1,2023-10-01,4407.698992739197,4536.0,0.10475,0.0,0.8165708673395169,True,False,False,1125.3186813186812,6.446046110565352,2023-10-01,0.8538597410664027
2023-10-01,R0B,2,2023-11-01,4391.9666246144025,4487.0,0.16825,0.0,0.8335556854416937,True,False,False,1125.3186813186812,6.446046110565352,2023-10-01,0.8538597410664027
2023-10-01,R0B,3,2023-12-01,4418.770551865552,4598.0,0.11975,0.0,0.8132578595240946,True,False,False,1125.3186813186812,6.446046110565352,2023-10-01,0.8538597410664027
2023-10-01,R0D,1,2023-10-01,4112.3849368787205,4281.0,0.444,86.0,0.9078909107228373,True,True,False,1103.1538461538462,7.733850438262957,2023-10-01,0.9206090955145941
2023-10-01,R0D,2,2023-11-01,4013.0208502697274,4071.0,0.53275,110.0,0.9286318820702985,True,True,True,1103.1538461538462,7.733850438262957,2023-10-01,0.9206090955145941
2023-10-01,R0D,3,2023-12-01,4036.3897363608603,4097.0,0.42925,80.0,0.9002278029335242,True,True,False,1103.1538461538462,7.733850438262957,2023-10-01,0.9206090955145941
2023-10-01,R1F,1,2023-10-01,1102.4107209140595,1140.0,0.32925,11.0,0.8783401796505844,True,True,False,267.9340659340659,6.6353937775557945,2023-10-01,0.9318306529905872
2023-10-01,R1F,2,2023-11-01,1113.7722164673573,1108.0,0.47525,22.0,0.9145170492667074,True,True,False,267.9340659340659,6.6353937775557945,2023-10-01,0.9318306529905872
2023-10-01,R1F,3,2023-12-01,1156.5902863898598,1083.0,0.4835,24.0,0.9155829225555916,True,True,False,267.9340659340659,6.6353937775557945,2023-10-01,0.9318306529905872
2023-10-01,R1H,1,2023-10-01,5384.024169339147,5458.0,0.5025,207.0,0.9211153421924374,True,True,True,1695.2637362637363,9.119907097222274,2023-10-01,0.9771773269448848
2023-10-01,R1H,2,2023-11-01,5289.034770842803,5293.0,0.56675,248.0,0.9415556960188552,True,True,True,1695.2637362637363,9.119907097222274,2023-10-01,0.9771773269448848
2023-10-01,R1H,3,2023-12-01,5362.4212101180165,5433.0,0.4935,205.0,0.9182340319284246,True,True,False,1695.2637362637363,9.119907097222274,2023-10-01,0.9771773269448848
2023-10-01,R1K,1,2023-10-01,6124.347214009839,6552.0,0.41125,60.0,0.8974001219964721,True,True,False,1012.4615384615385,4.606269959829272,2023-10-01,0.9502393577056008
2023-10-01,R1K,2,2023-11-01,6201.187389689075,6651.0,0.561,94.0,0.9328815530936195,True,True,True,1012.4615384615385,4.606269959829272,2023-10-01,0.9502393577056008
2023-10-01,R1K,3,2023-12-01,6409.683751963144,7165.0,0.60525,117.0,0.9424371253738955,True,True,True,1012.4615384615385,4.606269959829272,2023-10-01,0.9502393577056008
2023-10-01,RA2,1,2023-10-01,2316.8444810143214,2263.0,0.20925,3.0,0.8439532485807669,True,False,False,480.0,5.459435875660458,2023-10-01,0.9449260234183535
2023-10-01,RA2,2,2023-11-01,2260.702178223713,2169.0,0.27275,13.0,0.8593147068610527,True,True,False,480.0,5.459435875660458,2023-10-01,0.9449260234183535
2023-10-01,RA2,3,2023-12-01,2316.2741410638087,2264.0,0.2055,1.0,0.8409295226208063,True,False,False,480.0,5.459435875660458,2023-10-01,0.9449260234183535
2023-10-01,RA7,1,2023-10-01,4742.067356257154,5177.0,0.96375,286.0,1.0983037320053701,True,True,True,968.4175824175824,6.974383809772565,2023-10-01,0.965160727858005
2023-10-01,RA7,2,2023-11-01,4625.609158443084,5137.0,0.9595,300.0,1.1107649635335015,True,True,True,968.4175824175824,6.974383809772565,2023-10-01,0.965160727858005
2023-10-01,RA7,3,2023-12-01,4703.955753964111,5090.0,0.9395,287.0,1.0929922490679134,True,True,True,968.4175824175824,6.974383809772565,2023-10-01,0.965160727858005
