split,origin_set,n_origins,level,mode,months,model,oyear,horizon,region,stat,value,n,origins,assessed,met,g1
conf,CONF19,19,region,asof,all,ETS + pooled,2024,1,assessable,cov90,0.9007936507936508,252,12,True,True,as_issued
conf,CONF19,19,region,asof,all,ETS + pooled,2024,2,assessable,cov90,0.8531746031746031,252,12,True,False,as_issued
conf,CONF19,19,region,asof,all,ETS + pooled,2024,3,assessable,cov90,0.8412698412698413,252,12,True,False,as_issued
conf,CONF19,19,region,asof,all,ETS + pooled,2024,4,assessable,cov90,0.876984126984127,252,12,True,True,as_issued
conf,CONF19,19,region,asof,all,ETS + pooled,2024,5,assessable,cov90,0.9563492063492064,252,12,True,False,as_issued
conf,CONF19,19,region,asof,all,ETS + pooled,2024,6,assessable,cov90,0.9801587301587301,252,12,True,False,as_issued
conf,CONF19,19,region,asof,all,ETS + pooled,2025,1,assessable,cov90,0.8095238095238095,147,7,True,False,as_issued
conf,CONF19,19,region,asof,all,ETS + pooled,2025,2,assessable,cov90,0.9387755102040817,147,7,True,False,as_issued
conf,CONF19,19,region,asof,all,ETS + pooled,2025,3,assessable,cov90,0.9863945578231292,147,7,True,False,as_issued
conf,CONF19,19,region,asof,all,ETS + pooled,2025,4,assessable,cov90,0.9795918367346939,147,7,True,False,as_issued
conf,CONF19,19,region,asof,all,ETS + pooled,2025,5,assessable,cov90,0.9523809523809523,147,7,True,False,as_issued
conf,CONF19,19,region,asof,all,ETS + pooled,2025,6,assessable,cov90,0.9387755102040817,147,7,True,False,as_issued
conf,CONF19,19,region,asof,all,ETS + pooled,2024,1,assessable,cov50,0.376984126984127,252,12,True,,as_issued
conf,CONF19,19,region,asof,all,ETS + pooled,2024,2,assessable,cov50,0.4523809523809524,252,12,True,,as_issued
conf,CONF19,19,region,asof,all,ETS + pooled,2024,3,assessable,cov50,0.43253968253968256,252,12,True,,as_issued
conf,CONF19,19,region,asof,all,ETS + pooled,2024,4,assessable,cov50,0.49206349206349204,252,12,True,,as_issued
conf,CONF19,19,region,asof,all,ETS + pooled,2024,5,assessable,cov50,0.4722222222222222,252,12,True,,as_issued
conf,CONF19,19,region,asof,all,ETS + pooled,2024,6,assessable,cov50,0.4722222222222222,252,12,True,,as_issued
conf,CONF19,19,region,asof,all,ETS + pooled,2025,1,assessable,cov50,0.54421768707483,147,7,True,,as_issued
conf,CONF19,19,region,asof,all,ETS + pooled,2025,2,assessable,cov50,0.6054421768707483,147,7,True,,as_issued
conf,CONF19,19,region,asof,all,ETS + pooled,2025,3,assessable,cov50,0.782312925170068,147,7,True,,as_issued
conf,CONF19,19,region,asof,all,ETS + pooled,2025,4,assessable,cov50,0.7687074829931972,147,7,True,,as_issued
conf,CONF19,19,region,asof,all,ETS + pooled,2025,5,assessable,cov50,0.782312925170068,147,7,True,,as_issued
conf,CONF19,19,region,asof,all,ETS + pooled,2025,6,assessable,cov50,0.7346938775510204,147,7,True,,as_issued
conf,CONF19,19,region,asof,all,ETS + pooled + MinT,2024,1,assessable,cov90,0.9523809523809523,252,12,True,False,as_issued
conf,CONF19,19,region,asof,all,ETS + pooled + MinT,2024,2,assessable,cov90,0.9206349206349206,252,12,True,True,as_issued
conf,CONF19,19,region,asof,all,ETS + pooled + MinT,2024,3,assessable,cov90,0.9722222222222222,252,12,True,False,as_issued
conf,CONF19,19,region,asof,all,ETS + pooled + MinT,2024,4,assessable,cov90,0.9682539682539683,252,12,True,False,as_issued
conf,CONF19,19,region,asof,all,ETS + pooled + MinT,2024,5,assessable,cov90,0.9801587301587301,252,12,True,False,as_issued
conf,CONF19,19,region,asof,all,ETS + pooled + MinT,2024,6,assessable,cov90,0.996031746031746,252,12,True,False,as_issued
conf,CONF19,19,region,asof,all,ETS + pooled + MinT,2025,1,assessable,cov90,0.9863945578231292,147,7,True,False,as_issued
conf,CONF19,19,region,asof,all,ETS + pooled + MinT,2025,2,assessable,cov90,1.0,147,7,True,False,as_issued
conf,CONF19,19,region,asof,all,ETS + pooled + MinT,2025,3,assessable,cov90,1.0,147,7,True,False,as_issued
conf,CONF19,19,region,asof,all,ETS + pooled + MinT,2025,4,assessable,cov90,1.0,147,7,True,False,as_issued
conf,CONF19,19,region,asof,all,ETS + pooled + MinT,2025,5,assessable,cov90,1.0,147,7,True,False,as_issued
conf,CONF19,19,region,asof,all,ETS + pooled + MinT,2025,6,assessable,cov90,1.0,147,7,True,False,as_issued
conf,CONF19,19,region,asof,all,ETS + pooled + MinT,2024,1,assessable,cov50,0.45634920634920634,252,12,True,,as_issued
conf,CONF19,19,region,asof,all,ETS + pooled + MinT,2024,2,assessable,cov50,0.49206349206349204,252,12,True,,as_issued
conf,CONF19,19,region,asof,all,ETS + pooled + MinT,2024,3,assessable,cov50,0.5277777777777778,252,12,True,,as_issued
conf,CONF19,19,region,asof,all,ETS + pooled + MinT,2024,4,assessable,cov50,0.623015873015873,252,12,True,,as_issued
conf,CONF19,19,region,asof,all,ETS + pooled + MinT,2024,5,assessable,cov50,0.6666666666666666,252,12,True,,as_issued
conf,CONF19,19,region,asof,all,ETS + pooled + MinT,2024,6,assessable,cov50,0.746031746031746,252,12,True,,as_issued
conf,CONF19,19,region,asof,all,ETS + pooled + MinT,2025,1,assessable,cov50,0.6530612244897959,147,7,True,,as_issued
conf,CONF19,19,region,asof,all,ETS + pooled + MinT,2025,2,assessable,cov50,0.7482993197278912,147,7,True,,as_issued
conf,CONF19,19,region,asof,all,ETS + pooled + MinT,2025,3,assessable,cov50,0.9251700680272109,147,7,True,,as_issued
conf,CONF19,19,region,asof,all,ETS + pooled + MinT,2025,4,assessable,cov50,0.8979591836734694,147,7,True,,as_issued
conf,CONF19,19,region,asof,all,ETS + pooled + MinT,2025,5,assessable,cov50,0.8707482993197279,147,7,True,,as_issued
conf,CONF19,19,region,asof,all,ETS + pooled + MinT,2025,6,assessable,cov50,0.8639455782312925,147,7,True,,as_issued
conf,CONF19,19,region,asof,all,M1 + pooled,2024,1,assessable,cov90,0.8849206349206349,252,12,True,True,as_issued
conf,CONF19,19,region,asof,all,M1 + pooled,2024,2,assessable,cov90,0.9285714285714286,252,12,True,True,as_issued
conf,CONF19,19,region,asof,all,M1 + pooled,2024,3,assessable,cov90,0.8849206349206349,252,12,True,True,as_issued
conf,CONF19,19,region,asof,all,M1 + pooled,2024,4,assessable,cov90,0.9246031746031746,252,12,True,True,as_issued
conf,CONF19,19,region,asof,all,M1 + pooled,2024,5,assessable,cov90,0.9246031746031746,252,12,True,True,as_issued
conf,CONF19,19,region,asof,all,M1 + pooled,2024,6,assessable,cov90,0.9563492063492064,252,12,True,False,as_issued
conf,CONF19,19,region,asof,all,M1 + pooled,2025,1,assessable,cov90,0.9387755102040817,147,7,True,False,as_issued
conf,CONF19,19,region,asof,all,M1 + pooled,2025,2,assessable,cov90,0.9319727891156463,147,7,True,False,as_issued
conf,CONF19,19,region,asof,all,M1 + pooled,2025,3,assessable,cov90,0.9659863945578231,147,7,True,False,as_issued
conf,CONF19,19,region,asof,all,M1 + pooled,2025,4,assessable,cov90,0.9319727891156463,147,7,True,False,as_issued
conf,CONF19,19,region,asof,all,M1 + pooled,2025,5,assessable,cov90,0.9183673469387755,147,7,True,True,as_issued
conf,CONF19,19,region,asof,all,M1 + pooled,2025,6,assessable,cov90,0.9115646258503401,147,7,True,True,as_issued
conf,CONF19,19,region,asof,all,M1 + pooled,2024,1,assessable,cov50,0.5476190476190477,252,12,True,,as_issued
conf,CONF19,19,region,asof,all,M1 + pooled,2024,2,assessable,cov50,0.6031746031746031,252,12,True,,as_issued
conf,CONF19,19,region,asof,all,M1 + pooled,2024,3,assessable,cov50,0.626984126984127,252,12,True,,as_issued
conf,CONF19,19,region,asof,all,M1 + pooled,2024,4,assessable,cov50,0.6785714285714286,252,12,True,,as_issued
conf,CONF19,19,region,asof,all,M1 + pooled,2024,5,assessable,cov50,0.7301587301587301,252,12,True,,as_issued
conf,CONF19,19,region,asof,all,M1 + pooled,2024,6,assessable,cov50,0.7579365079365079,252,12,True,,as_issued
conf,CONF19,19,region,asof,all,M1 + pooled,2025,1,assessable,cov50,0.5034013605442177,147,7,True,,as_issued
conf,CONF19,19,region,asof,all,M1 + pooled,2025,2,assessable,cov50,0.564625850340136,147,7,True,,as_issued
conf,CONF19,19,region,asof,all,M1 + pooled,2025,3,assessable,cov50,0.6870748299319728,147,7,True,,as_issued
conf,CONF19,19,region,asof,all,M1 + pooled,2025,4,assessable,cov50,0.6598639455782312,147,7,True,,as_issued
conf,CONF19,19,region,asof,all,M1 + pooled,2025,5,assessable,cov50,0.6122448979591837,147,7,True,,as_issued
conf,CONF19,19,region,asof,all,M1 + pooled,2025,6,assessable,cov50,0.5238095238095238,147,7,True,,as_issued
conf,CONF19,19,region,asof,all,M1 + pooled + MinT,2024,1,assessable,cov90,0.9365079365079365,252,12,True,False,as_issued
conf,CONF19,19,region,asof,all,M1 + pooled + MinT,2024,2,assessable,cov90,0.9404761904761905,252,12,True,False,as_issued
conf,CONF19,19,region,asof,all,M1 + pooled + MinT,2024,3,assessable,cov90,0.9523809523809523,252,12,True,False,as_issued
conf,CONF19,19,region,asof,all,M1 + pooled + MinT,2024,4,assessable,cov90,0.9880952380952381,252,12,True,False,as_issued
conf,CONF19,19,region,asof,all,M1 + pooled + MinT,2024,5,assessable,cov90,0.9880952380952381,252,12,True,False,as_issued
conf,CONF19,19,region,asof,all,M1 + pooled + MinT,2024,6,assessable,cov90,0.9880952380952381,252,12,True,False,as_issued
conf,CONF19,19,region,asof,all,M1 + pooled + MinT,2025,1,assessable,cov90,0.9727891156462585,147,7,True,False,as_issued
