split,origin_set,n_origins,level,mode,months,model,oyear,horizon,region,stat,value,n,origins,assessed,met,g1
conf,CONF19,19,icb,asof,all,ETS + pooled,2024,1,assessable,cov90,0.8927469135802469,1296,12,True,True,failed_dropped
conf,CONF19,19,icb,asof,all,ETS + pooled,2024,2,assessable,cov90,0.8557098765432098,1296,12,True,False,failed_dropped
conf,CONF19,19,icb,asof,all,ETS + pooled,2024,3,assessable,cov90,0.8510802469135802,1296,12,True,False,failed_dropped
conf,CONF19,19,icb,asof,all,ETS + pooled,2024,4,assessable,cov90,0.8541666666666666,1296,12,True,False,failed_dropped
conf,CONF19,19,icb,asof,all,ETS + pooled,2024,5,assessable,cov90,0.9128086419753086,1296,12,True,True,failed_dropped
conf,CONF19,19,icb,asof,all,ETS + pooled,2024,6,assessable,cov90,0.9429012345679012,1296,12,True,False,failed_dropped
conf,CONF19,19,icb,asof,all,ETS + pooled,2025,1,assessable,cov90,0.8783068783068783,756,7,True,True,failed_dropped
conf,CONF19,19,icb,asof,all,ETS + pooled,2025,2,assessable,cov90,0.9298941798941799,756,7,True,True,failed_dropped
conf,CONF19,19,icb,asof,all,ETS + pooled,2025,3,assessable,cov90,0.9656084656084656,756,7,True,False,failed_dropped
conf,CONF19,19,icb,asof,all,ETS + pooled,2025,4,assessable,cov90,0.9761904761904762,756,7,True,False,failed_dropped
conf,CONF19,19,icb,asof,all,ETS + pooled,2025,5,assessable,cov90,0.951058201058201,756,7,True,False,failed_dropped
conf,CONF19,19,icb,asof,all,ETS + pooled,2025,6,assessable,cov90,0.9484126984126984,756,7,True,False,failed_dropped
conf,CONF19,19,icb,asof,all,ETS + pooled,2024,1,assessable,cov50,0.42746913580246915,1296,12,True,,failed_dropped
conf,CONF19,19,icb,asof,all,ETS + pooled,2024,2,assessable,cov50,0.44753086419753085,1296,12,True,,failed_dropped
conf,CONF19,19,icb,asof,all,ETS + pooled,2024,3,assessable,cov50,0.44675925925925924,1296,12,True,,failed_dropped
conf,CONF19,19,icb,asof,all,ETS + pooled,2024,4,assessable,cov50,0.4876543209876543,1296,12,True,,failed_dropped
conf,CONF19,19,icb,asof,all,ETS + pooled,2024,5,assessable,cov50,0.44598765432098764,1296,12,True,,failed_dropped
conf,CONF19,19,icb,asof,all,ETS + pooled,2024,6,assessable,cov50,0.4521604938271605,1296,12,True,,failed_dropped
conf,CONF19,19,icb,asof,all,ETS + pooled,2025,1,assessable,cov50,0.5383597883597884,756,7,True,,failed_dropped
conf,CONF19,19,icb,asof,all,ETS + pooled,2025,2,assessable,cov50,0.5687830687830688,756,7,True,,failed_dropped
conf,CONF19,19,icb,asof,all,ETS + pooled,2025,3,assessable,cov50,0.6878306878306878,756,7,True,,failed_dropped
conf,CONF19,19,icb,asof,all,ETS + pooled,2025,4,assessable,cov50,0.6865079365079365,756,7,True,,failed_dropped
conf,CONF19,19,icb,asof,all,ETS + pooled,2025,5,assessable,cov50,0.701058201058201,756,7,True,,failed_dropped
conf,CONF19,19,icb,asof,all,ETS + pooled,2025,6,assessable,cov50,0.6468253968253969,756,7,True,,failed_dropped
conf,CONF19,19,icb,asof,all,ETS + pooled + MinT,2024,1,assessable,cov90,0.8611111111111112,1296,12,True,False,failed_dropped
conf,CONF19,19,icb,asof,all,ETS + pooled + MinT,2024,2,assessable,cov90,0.8464506172839507,1296,12,True,False,failed_dropped
conf,CONF19,19,icb,asof,all,ETS + pooled + MinT,2024,3,assessable,cov90,0.8888888888888888,1296,12,True,True,failed_dropped
conf,CONF19,19,icb,asof,all,ETS + pooled + MinT,2024,4,assessable,cov90,0.8966049382716049,1296,12,True,True,failed_dropped
conf,CONF19,19,icb,asof,all,ETS + pooled + MinT,2024,5,assessable,cov90,0.9212962962962963,1296,12,True,True,failed_dropped
conf,CONF19,19,icb,asof,all,ETS + pooled + MinT,2024,6,assessable,cov90,0.9459876543209876,1296,12,True,False,failed_dropped
conf,CONF19,19,icb,asof,all,ETS + pooled + MinT,2025,1,assessable,cov90,0.9021164021164021,756,7,True,True,failed_dropped
conf,CONF19,19,icb,asof,all,ETS + pooled + MinT,2025,2,assessable,cov90,0.9272486772486772,756,7,True,True,failed_dropped
conf,CONF19,19,icb,asof,all,ETS + pooled + MinT,2025,3,assessable,cov90,0.9682539682539683,756,7,True,False,failed_dropped
conf,CONF19,19,icb,asof,all,ETS + pooled + MinT,2025,4,assessable,cov90,0.9629629629629629,756,7,True,False,failed_dropped
conf,CONF19,19,icb,asof,all,ETS + pooled + MinT,2025,5,assessable,cov90,0.9444444444444444,756,7,True,False,failed_dropped
conf,CONF19,19,icb,asof,all,ETS + pooled + MinT,2025,6,assessable,cov90,0.9391534391534392,756,7,True,False,failed_dropped
conf,CONF19,19,icb,asof,all,ETS + pooled + MinT,2024,1,assessable,cov50,0.3950617283950617,1296,12,True,,failed_dropped
conf,CONF19,19,icb,asof,all,ETS + pooled + MinT,2024,2,assessable,cov50,0.4351851851851852,1296,12,True,,failed_dropped
conf,CONF19,19,icb,asof,all,ETS + pooled + MinT,2024,3,assessable,cov50,0.4845679012345679,1296,12,True,,failed_dropped
conf,CONF19,19,icb,asof,all,ETS + pooled + MinT,2024,4,assessable,cov50,0.5285493827160493,1296,12,True,,failed_dropped
conf,CONF19,19,icb,asof,all,ETS + pooled + MinT,2024,5,assessable,cov50,0.566358024691358,1296,12,True,,failed_dropped
conf,CONF19,19,icb,asof,all,ETS + pooled + MinT,2024,6,assessable,cov50,0.5871913580246914,1296,12,True,,failed_dropped
conf,CONF19,19,icb,asof,all,ETS + pooled + MinT,2025,1,assessable,cov50,0.5542328042328042,756,7,True,,failed_dropped
