split,origin_set,n_origins,mode,months,horizons,metric,reference,g1,model,level,target,n_units,n_pairs,diff,diff_lo,diff_hi,rel,rel_lo,rel_hi,n_ref,n_tested,unpaired_ref,unpaired_tested,evaluable,note
conf,CONF19,19,asof,winter,3,wis,M1 + pooled,as_issued,ETS + pooled,icb,att_all,36.0,180.0,39.68253197561907,-52.0793897714741,134.6144687794684,0.0256261583559092,-0.03437174526912956,0.08980479970436034,180.0,180.0,0.0,0.0,True,
conf,CONF19,19,asof,winter,3,wis,M1 + pooled,as_issued,ETS + pooled,icb,att_type1,36.0,180.0,6.933874830130018,-85.09469154566489,103.11043268229596,0.007977747815496983,-0.09877372225751133,0.12301087133212353,180.0,180.0,0.0,0.0,True,
conf,CONF19,19,asof,winter,3,wis,M1 + pooled,as_issued,ETS + pooled,icb,adm_via_ae,36.0,180.0,-32.74761028329848,-61.79391525765079,-8.647484065501944,-0.12302198269764164,-0.2042987269318247,-0.035211698188066395,180.0,180.0,0.0,0.0,True,
conf,CONF19,19,asof,winter,3,wis,M1 + pooled,as_issued,ETS + pooled,icb,geometric mean,,,,,,-0.03214659943377851,,,,,,,,
conf,CONF19,19,asof,winter,3,wis,M1 + pooled,as_issued,ETS + pooled + MinT,icb,att_all,36.0,180.0,-8.320255926169088,-135.19642627121198,129.01903394813382,-0.005373049180851575,-0.08166749759702104,0.08451180293055374,180.0,180.0,0.0,0.0,True,
conf,CONF19,19,asof,winter,3,wis,M1 + pooled,as_issued,ETS + pooled + MinT,icb,att_type1,36.0,180.0,-109.22474824558196,-181.52229315057443,-30.693902712732427,-0.1256681895854238,-0.20308653983365021,-0.034403049020319584,180.0,180.0,0.0,0.0,True,
conf,CONF19,19,asof,winter,3,wis,M1 + pooled,as_issued,ETS + pooled + MinT,icb,adm_via_ae,36.0,180.0,-33.081454639457746,-63.65935856731655,-7.213458644868769,-0.12427612595425874,-0.20989960684272757,-0.03031773022293273,180.0,180.0,0.0,0.0,True,
conf,CONF19,19,asof,winter,3,wis,M1 + pooled,as_issued,ETS + pooled + MinT,icb,geometric mean,,,,,,-0.08679580613400961,,,,,,,,
conf,CONF19,19,asof,winter,3,wis,M1 + pooled,as_issued,M1 + pooled,icb,att_all,36.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,180.0,0.0,0.0,True,
conf,CONF19,19,asof,winter,3,wis,M1 + pooled,as_issued,M1 + pooled,icb,att_type1,36.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,180.0,0.0,0.0,True,
conf,CONF19,19,asof,winter,3,wis,M1 + pooled,as_issued,M1 + pooled,icb,adm_via_ae,36.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,180.0,0.0,0.0,True,
conf,CONF19,19,asof,winter,3,wis,M1 + pooled,as_issued,M1 + pooled,icb,geometric mean,,,,,,0.0,,,,,,,,
conf,CONF19,19,asof,winter,3,wis,M1 + pooled,as_issued,M1 + pooled + MinT,icb,att_all,36.0,180.0,-180.6413714239272,-267.63644988475005,-99.74071606802119,-0.11665446127737888,-0.15889901602163628,-0.06857072691217884,180.0,180.0,0.0,0.0,True,
conf,CONF19,19,asof,winter,3,wis,M1 + pooled,as_issued,M1 + pooled + MinT,icb,att_type1,36.0,180.0,113.1416495261241,70.77818317732479,167.8971455855932,0.1301747679993548,0.08647074096171774,0.17992658015912755,180.0,180.0,0.0,0.0,True,
conf,CONF19,19,asof,winter,3,wis,M1 + pooled,as_issued,M1 + pooled + MinT,icb,adm_via_ae,36.0,180.0,22.243073876619913,9.248941603639302,36.72758601982645,0.08355990027728732,0.03655491437014863,0.1350684949090211,180.0,180.0,0.0,0.0,True,
conf,CONF19,19,asof,winter,3,wis,M1 + pooled,as_issued,M1 + pooled + MinT,icb,geometric mean,,,,,,0.026541198878016647,,,,,,,,
conf,CONF19,19,asof,winter,3,wis,M1 + pooled,as_issued,M2 frozen (m2d_corr),icb,att_all,36.0,180.0,320.15908782885685,171.3315481178497,484.9608904976794,0.2067521167456392,0.11055906523163751,0.3079501827608615,180.0,180.0,0.0,0.0,True,
conf,CONF19,19,asof,winter,3,wis,M1 + pooled,as_issued,M2 frozen (m2d_corr),icb,att_type1,36.0,180.0,212.92286021603994,107.35240161088525,315.61769985761185,0.2449777252362073,0.12805596273714057,0.36738456532697383,180.0,180.0,0.0,0.0,True,
conf,CONF19,19,asof,winter,3,wis,M1 + pooled,as_issued,M2 frozen (m2d_corr),icb,adm_via_ae,36.0,180.0,71.36153400165902,31.87577353758969,109.17279492764203,0.2680817722356563,0.11287193744750777,0.43873306195307143,180.0,180.0,0.0,0.0,True,
conf,CONF19,19,asof,winter,3,wis,M1 + pooled,as_issued,M2 frozen (m2d_corr),icb,geometric mean,,,,,,0.23967821722415983,,,,,,,,
