split,origin_set,n_origins,level,mode,months,model,oyear,horizon,region,stat,value,n,origins,assessed,met,g1
conf,CONF21,21,icb,asof,all,ETS + pooled,2024,1,assessable,cov90,0.8927469135802469,1296,12,True,True,as_issued
conf,CONF21,21,icb,asof,all,ETS + pooled,2024,2,assessable,cov90,0.8557098765432098,1296,12,True,False,as_issued
conf,CONF21,21,icb,asof,all,ETS + pooled,2024,3,assessable,cov90,0.8510802469135802,1296,12,True,False,as_issued
conf,CONF21,21,icb,asof,all,ETS + pooled,2024,4,assessable,cov90,0.8541666666666666,1296,12,True,False,as_issued
conf,CONF21,21,icb,asof,all,ETS + pooled,2024,5,assessable,cov90,0.9128086419753086,1296,12,True,True,as_issued
conf,CONF21,21,icb,asof,all,ETS + pooled,2024,6,assessable,cov90,0.9429012345679012,1296,12,True,False,as_issued
conf,CONF21,21,icb,asof,all,ETS + pooled,2025,1,assessable,cov90,0.8909465020576132,972,9,True,True,as_issued
conf,CONF21,21,icb,asof,all,ETS + pooled,2025,2,assessable,cov90,0.941358024691358,972,9,True,False,as_issued
conf,CONF21,21,icb,asof,all,ETS + pooled,2025,3,assessable,cov90,0.9629629629629629,972,9,True,False,as_issued
conf,CONF21,21,icb,asof,all,ETS + pooled,2025,4,assessable,cov90,0.9650205761316872,972,9,True,False,as_issued
conf,CONF21,21,icb,asof,all,ETS + pooled,2025,5,assessable,cov90,0.9351851851851852,972,9,True,False,as_issued
conf,CONF21,21,icb,asof,all,ETS + pooled,2025,6,assessable,cov90,0.941358024691358,972,9,True,False,as_issued
conf,CONF21,21,icb,asof,all,ETS + pooled,2024,1,assessable,cov50,0.42746913580246915,1296,12,True,,as_issued
conf,CONF21,21,icb,asof,all,ETS + pooled,2024,2,assessable,cov50,0.44753086419753085,1296,12,True,,as_issued
conf,CONF21,21,icb,asof,all,ETS + pooled,2024,3,assessable,cov50,0.44675925925925924,1296,12,True,,as_issued
conf,CONF21,21,icb,asof,all,ETS + pooled,2024,4,assessable,cov50,0.4876543209876543,1296,12,True,,as_issued
conf,CONF21,21,icb,asof,all,ETS + pooled,2024,5,assessable,cov50,0.44598765432098764,1296,12,True,,as_issued
conf,CONF21,21,icb,asof,all,ETS + pooled,2024,6,assessable,cov50,0.4521604938271605,1296,12,True,,as_issued
conf,CONF21,21,icb,asof,all,ETS + pooled,2025,1,assessable,cov50,0.581275720164609,972,9,True,,as_issued
conf,CONF21,21,icb,asof,all,ETS + pooled,2025,2,assessable,cov50,0.6316872427983539,972,9,True,,as_issued
conf,CONF21,21,icb,asof,all,ETS + pooled,2025,3,assessable,cov50,0.6995884773662552,972,9,True,,as_issued
conf,CONF21,21,icb,asof,all,ETS + pooled,2025,4,assessable,cov50,0.6512345679012346,972,9,True,,as_issued
conf,CONF21,21,icb,asof,all,ETS + pooled,2025,5,assessable,cov50,0.6460905349794238,972,9,True,,as_issued
conf,CONF21,21,icb,asof,all,ETS + pooled,2025,6,assessable,cov50,0.6039094650205762,972,9,True,,as_issued
conf,CONF21,21,icb,asof,all,ETS + pooled + MinT,2024,1,assessable,cov90,0.8611111111111112,1296,12,True,False,as_issued
