split,origin_set,n_origins,mode,months,horizons,metric,reference,g1,model,level,target,n_units,n_pairs,diff,diff_lo,diff_hi,rel,rel_lo,rel_hi,n_ref,n_tested,unpaired_ref,unpaired_tested,evaluable,note
conf,CONF21,21,asof,winter,3,wis,M1 + pooled,as_issued,ETS + pooled,region,att_all,7.0,35.0,1071.5534221143537,601.567042815034,1558.3763261857086,0.16137189009684105,0.08175078101509342,0.24293593108877856,35.0,35.0,0.0,0.0,True,caution: bootstrap over 7 series
conf,CONF21,21,asof,winter,3,wis,M1 + pooled,as_issued,ETS + pooled,region,att_type1,7.0,35.0,822.8714776088935,405.80988326659667,1174.7094848313193,0.2852373446517795,0.13406759528002707,0.4211408783663098,35.0,35.0,0.0,0.0,True,caution: bootstrap over 7 series
conf,CONF21,21,asof,winter,3,wis,M1 + pooled,as_issued,ETS + pooled,region,adm_via_ae,7.0,35.0,-69.86261932832595,-189.670192637145,43.694404778385085,-0.0737887466557422,-0.19875769810836882,0.05142043714211964,35.0,35.0,0.0,0.0,True,caution: bootstrap over 7 series
conf,CONF21,21,asof,winter,3,wis,M1 + pooled,as_issued,ETS + pooled,region,geometric mean,,,,,,0.11400780396507693,,,,,,,,
conf,CONF21,21,asof,winter,3,wis,M1 + pooled,as_issued,ETS + pooled + MinT,region,att_all,7.0,35.0,802.6361475402556,-388.92807619545397,1917.3338548415788,0.1208739662583016,-0.05015145301393053,0.29397761278164014,35.0,35.0,0.0,0.0,True,caution: bootstrap over 7 series
conf,CONF21,21,asof,winter,3,wis,M1 + pooled,as_issued,ETS + pooled + MinT,region,att_type1,7.0,35.0,-56.53640553687241,-312.04250494556806,168.4820708184515,-0.01959758556506741,-0.10133626321669596,0.06667990494125088,35.0,35.0,0.0,0.0,True,caution: bootstrap over 7 series
conf,CONF21,21,asof,winter,3,wis,M1 + pooled,as_issued,ETS + pooled + MinT,region,adm_via_ae,7.0,35.0,-2.1344167888855736,-155.4367303912872,138.49174338406624,-0.002254366372275163,-0.14124160321202253,0.15864809520033163,35.0,35.0,0.0,0.0,True,caution: bootstrap over 7 series
conf,CONF21,21,asof,winter,3,wis,M1 + pooled,as_issued,ETS + pooled + MinT,region,geometric mean,,,,,,0.031162229275670583,,,,,,,,
conf,CONF21,21,asof,winter,3,wis,M1 + pooled,as_issued,M1 + pooled,region,att_all,7.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,35.0,0.0,0.0,True,caution: bootstrap over 7 series
conf,CONF21,21,asof,winter,3,wis,M1 + pooled,as_issued,M1 + pooled,region,att_type1,7.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,35.0,0.0,0.0,True,caution: bootstrap over 7 series
conf,CONF21,21,asof,winter,3,wis,M1 + pooled,as_issued,M1 + pooled,region,adm_via_ae,7.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,35.0,0.0,0.0,True,caution: bootstrap over 7 series
conf,CONF21,21,asof,winter,3,wis,M1 + pooled,as_issued,M1 + pooled,region,geometric mean,,,,,,0.0,,,,,,,,
conf,CONF21,21,asof,winter,3,wis,M1 + pooled,as_issued,M1 + pooled + MinT,region,att_all,7.0,35.0,-349.0964049284153,-1255.1326531798645,466.2663060963462,-0.05257259743350284,-0.16880280968236916,0.07480443251213739,35.0,35.0,0.0,0.0,True,caution: bootstrap over 7 series
conf,CONF21,21,asof,winter,3,wis,M1 + pooled,as_issued,M1 + pooled + MinT,region,att_type1,7.0,35.0,873.0951938972667,527.6414829024858,1251.4228911893267,0.3026467212828272,0.17149606258460456,0.467366105731875,35.0,35.0,0.0,0.0,True,caution: bootstrap over 7 series
conf,CONF21,21,asof,winter,3,wis,M1 + pooled,as_issued,M1 + pooled + MinT,region,adm_via_ae,7.0,35.0,201.69572878569278,97.50258058820727,313.4031999427512,0.21303059026414917,0.09079912296626381,0.36298601705725086,35.0,35.0,0.0,0.0,True,caution: bootstrap over 7 series
conf,CONF21,21,asof,winter,3,wis,M1 + pooled,as_issued,M1 + pooled + MinT,region,geometric mean,,,,,,0.14397038554538555,,,,,,,,
conf,CONF21,21,asof,winter,3,wis,M1 + pooled,as_issued,M2 frozen (m2d_corr),region,att_all,7.0,35.0,1945.97749568789,716.0121771267585,3183.4769791211215,0.2930568463357115,0.09672350013781995,0.48752877149072166,35.0,35.0,0.0,0.0,True,caution: bootstrap over 7 series
conf,CONF21,21,asof,winter,3,wis,M1 + pooled,as_issued,M2 frozen (m2d_corr),region,att_type1,7.0,35.0,1659.5539891154754,1210.5384425102463,2190.0540960073236,0.575262098690162,0.4010859197578296,0.7972911866232474,35.0,35.0,0.0,0.0,True,caution: bootstrap over 7 series
conf,CONF21,21,asof,winter,3,wis,M1 + pooled,as_issued,M2 frozen (m2d_corr),region,adm_via_ae,7.0,35.0,448.7325753804834,215.76179618002882,643.8465998338555,0.47395037058829903,0.19788255133208033,0.7568439581067754,35.0,35.0,0.0,0.0,True,caution: bootstrap over 7 series
conf,CONF21,21,asof,winter,3,wis,M1 + pooled,as_issued,M2 frozen (m2d_corr),region,geometric mean,,,,,,0.4426171833237047,,,,,,,,
