model,role,target,n_units,n_pairs,diff,diff_lo,diff_hi,rel,rel_lo,rel_hi,n_ref,n_tested,unpaired_ref,unpaired_tested,evaluable,verdict,qualifier,dropped
m1_lightgbm,decides,att_all,189,752,-0.37912178219717485,-0.46163814462089575,-0.2939513700663118,-0.5107800464966255,-0.5776152324499351,-0.4292410465528023,754,752,2,0,True,confirmed,,2024-01-01
m1_lightgbm,decides,att_type1,122,485,-0.37973324924398355,-0.48416698273200043,-0.27917330108513533,-0.458363345651994,-0.529894738124131,-0.3846814435122142,485,485,0,0,True,confirmed,,2024-01-01
m1_lightgbm,decides,adm_via_ae,135,537,-0.5288189493250431,-0.679945930345415,-0.4000082646949551,-0.460293205357182,-0.5325796778989402,-0.3819641186071078,537,537,0,0,True,confirmed,,2024-01-01
m1_lightgbm,descriptive,pooled,190,1774,-0.39134130573395054,-0.46186297068802834,-0.3291686829993222,-0.4721493942680173,-0.5206943604676346,-0.41929370756795586,1776,1774,2,0,True,descriptive,,2024-01-01
m1_lightgbm_v3_raw,alongside,att_all,189,752,-0.2967004851623745,-0.3786783550573575,-0.21368084545721558,-0.3997361658528792,-0.4607124042407668,-0.3236477727768487,754,752,2,0,True,confirmed,,2024-01-01
m1_lightgbm_v3_raw,alongside,att_type1,122,485,-0.2829612751702503,-0.39159316629713303,-0.18540577957191323,-0.341553121922324,-0.41787199397232566,-0.2588125751195993,485,485,0,0,True,confirmed,,2024-01-01
m1_lightgbm_v3_raw,alongside,adm_via_ae,135,537,-0.5644334133231943,-0.713323155328949,-0.4384303924619034,-0.4912926538673199,-0.5531689575789761,-0.4197692704569698,537,537,0,0,True,confirmed,,2024-01-01
m1_lightgbm_v3_raw,descriptive,pooled,190,1774,-0.3499132767944115,-0.41664672427555804,-0.28709154478948984,-0.4221668892706555,-0.4699107323424282,-0.37086248836505,1776,1774,2,0,True,descriptive,,2024-01-01
m1_lightgbm,decides,att_all,189,750,-0.3933654550542442,-0.4692984942695395,-0.3186548574021069,-0.48824444746394124,-0.5366565621757499,-0.433080579452439,752,750,2,0,True,confirmed,,2024-10-01
m1_lightgbm,decides,att_type1,122,485,-0.4134829027824619,-0.4996123369006284,-0.32914377036497244,-0.4590553625068542,-0.5059968020857015,-0.404240046958839,485,485,0,0,True,confirmed,,2024-10-01
