split,origin_set,n_origins,level,mode,months,model,oyear,horizon,region,stat,value,n,origins,assessed,met,g1
conf,CONF19,19,icb,asof,all,m2d_corr,2024,1,assessable,cov90,0.9814814814814815,1296,12,True,False,as_issued
conf,CONF19,19,icb,asof,all,m2d_corr,2024,2,assessable,cov90,0.9899691358024691,1296,12,True,False,as_issued
conf,CONF19,19,icb,asof,all,m2d_corr,2024,3,assessable,cov90,0.9845679012345679,1296,12,True,False,as_issued
conf,CONF19,19,icb,asof,all,m2d_corr,2024,4,assessable,cov90,0.9884259259259259,1296,12,True,False,as_issued
conf,CONF19,19,icb,asof,all,m2d_corr,2024,5,assessable,cov90,0.9861111111111112,1296,12,True,False,as_issued
conf,CONF19,19,icb,asof,all,m2d_corr,2024,6,assessable,cov90,0.9899691358024691,1296,12,True,False,as_issued
conf,CONF19,19,icb,asof,all,m2d_corr,2025,1,assessable,cov90,0.9497354497354498,756,7,True,False,as_issued
conf,CONF19,19,icb,asof,all,m2d_corr,2025,2,assessable,cov90,0.9973544973544973,756,7,True,False,as_issued
conf,CONF19,19,icb,asof,all,m2d_corr,2025,3,assessable,cov90,0.996031746031746,756,7,True,False,as_issued
conf,CONF19,19,icb,asof,all,m2d_corr,2025,4,assessable,cov90,0.9986772486772487,756,7,True,False,as_issued
conf,CONF19,19,icb,asof,all,m2d_corr,2025,5,assessable,cov90,0.9973544973544973,756,7,True,False,as_issued
conf,CONF19,19,icb,asof,all,m2d_corr,2025,6,assessable,cov90,0.996031746031746,756,7,True,False,as_issued
