base,H3,icb_rel_hi,provider_rel,dropped
ETS,holds,-0.011787608114539546,0.010599570311130124,2024-01-01
STL+ARIMA,fails,0.21031704355578587,0.032567254910210286,2024-01-01
M1,fails,0.18829105346168895,0.07214886712137347,2024-01-01
ETS,fails,0.03829952881573314,0.009365602332225942,2024-10-01
STL+ARIMA,fails,0.12439907976217586,0.06835592948906122,2024-10-01
M1,fails,0.016659156100137632,0.07224886212942239,2024-10-01
ETS,holds,-0.0373820684210011,-0.018918842173508366,2024-11-01
STL+ARIMA,fails,0.13432843853730106,0.07924033375376172,2024-11-01
M1,fails,0.014350235068942412,0.0641506304075985,2024-11-01
ETS,holds,-0.05270501637212267,-0.013783604076428868,2024-12-01
STL+ARIMA,fails,0.1054464835027645,0.06525587318609372,2024-12-01
M1,holds,-0.10765251131826115,-0.0013514759106237895,2024-12-01
ETS,holds,-0.025535297724497665,-0.009640602868119186,2025-01-01
STL+ARIMA,fails,0.07391336595591334,0.053416122658062504,2025-01-01
M1,fails,0.03500551604053762,0.052254472726235957,2025-01-01
