split,origin_set,n_origins,level,g1,months,horizons,metric,key,model,target,role,n_units,n_pairs,diff,diff_lo,diff_hi,rel,rel_lo,rel_hi,n_ref,n_tested,unpaired_ref,unpaired_tested,evaluable,differs,loo_rel_lo_min,loo_rel_lo_max,loo_rel_hi_min,loo_rel_hi_max,fragile
conf,W5,5,provider,failed_dropped,winter,3,wis,b0,b0_seasonal_naive,att_all,decides,191,942,-0.16841932471905527,-0.3624482989580736,-0.01167340159718938,-0.00020467035325610894,-0.0004509746869482182,-1.4866803277396063e-05,942,942,0,0,True,False,-0.0006338366456638932,-0.0003037026176340467,-2.0400332339405624e-05,-5.5575244637021675e-06,False
conf,W5,5,provider,failed_dropped,winter,3,wis,b0,b0_seasonal_naive,att_type1,decides,123,608,-0.002501084534541141,-0.014069454801432634,0.006036084980609103,-3.939785052309297e-06,-2.2655596953461285e-05,8.976534495926323e-06,608,608,0,0,True,False,-3.1377211463346557e-05,0.0,4.9443175318693484e-06,1.455307704594721e-05,False
conf,W5,5,provider,failed_dropped,winter,3,wis,b0,b0_seasonal_naive,adm_via_ae,decides,136,672,-0.30431485464817704,-0.8871469624122716,0.0005274677567002556,-0.0015055739752979358,-0.004677639933248401,2.5982163279582293e-06,672,672,0,0,True,False,-0.0061656859559163875,-0.0005463291358509681,0.0,3.644899314208087e-05,False
conf,W5,5,provider,failed_dropped,winter,3,wis,b1,b1_ets,att_all,decides,187,920,-0.12205640068764065,-0.3432897965614887,0.028385230372153306,-0.00026959653577074416,-0.0007702317837673783,6.432469112876036e-05,920,922,0,2,True,False,-0.0011499182055610014,-0.0004327155746865385,4.050614573688294e-05,0.00010985111811772315,False
conf,W5,5,provider,failed_dropped,winter,3,wis,b1,b1_ets,att_type1,decides,122,607,0.011167104990714752,-0.0028455048785780094,0.036346819850722266,3.010017091886752e-05,-8.172937141753153e-06,0.00010401333728629137,607,607,0,0,True,False,-0.00014579013570451186,0.0,2.9173658775301202e-06,0.00026804335122678977,False
conf,W5,5,provider,failed_dropped,winter,3,wis,b1,b1_ets,adm_via_ae,decides,135,672,-0.24500595955613325,-0.8170922543166992,0.0002417932046785996,-0.0025077036091792904,-0.0078121814544806194,2.7592731201141524e-06,672,672,0,0,True,False,-0.009948375503777106,-0.001844110865387314,0.0,3.5110410390695836e-06,False
conf,W5,5,provider,failed_dropped,winter,3,wis,b2,b2_stl_arima,att_all,decides,187,920,0.12866696191679663,-0.16569813939495956,0.4965957130411508,0.00027916133977745616,-0.0003700703802687786,0.0011144065691763663,920,922,0,2,True,False,-0.0006228630415500115,-1.602162212964589e-05,0.0004676197206774799,0.0020656255786759455,False
conf,W5,5,provider,failed_dropped,winter,3,wis,b2,b2_stl_arima,att_type1,decides,122,607,0.057993759223315414,0.0,0.14167939951182576,0.0001468595957192509,0.0,0.0003850001522218047,607,607,0,0,True,False,0.0,0.0,0.0002542480677208863,0.00047595161980224177,False
conf,W5,5,provider,failed_dropped,winter,3,wis,b2,b2_stl_arima,adm_via_ae,decides,135,672,-0.2900320058500684,-1.0426052399433716,0.0018439012925134445,-0.002839412918272055,-0.009389915960486515,1.7786726329016584e-05,672,672,0,0,True,False,-0.011653674146391886,-0.0012782246357388564,0.0,2.2223705738336003e-05,False
conf,W5,5,provider,failed_dropped,winter,3,wis,m1,m1_lightgbm,att_all,decides,191,944,-0.21168346325973242,-0.41813538311683685,-0.07194688982216793,-0.0006322673003551493,-0.0013193581224353673,-0.0002053013379610311,944,946,0,2,True,False,-0.0028103193810051223,-0.0004420088600653381,-0.0002487707049013182,0.0006096712693417686,False
conf,W5,5,provider,failed_dropped,winter,3,wis,m1,m1_lightgbm,att_type1,decides,124,612,0.014281921752378251,-0.003656635410400203,0.029630189564652184,4.336527303760995e-05,-1.1663679493372276e-05,8.663317295882593e-05,612,614,0,2,True,False,-5.7939347441292136e-05,1.542826818799937e-05,3.598160497101089e-05,0.00011000782724847719,False
conf,W5,5,provider,failed_dropped,winter,3,wis,m1,m1_lightgbm,adm_via_ae,decides,137,677,-0.4543050243731065,-1.113661756945541,0.42183124630465507,-0.003681311632481532,-0.008734387686131202,0.003502006266130344,677,679,0,2,True,False,-0.010718118707770414,-0.0005457961933336862,3.724075977958407e-05,0.004305185154455586,False
conf,W5,5,provider,failed_dropped,winter,3,wis,m1_v3_raw,m1_lightgbm_v3_raw,att_all,alongside,191,944,0.6372543248762769,-2.7738420362816267,3.9793468109575425,0.0015310456179611354,-0.006830469504875963,0.009855877399656925,944,946,0,2,True,False,-0.012700496291460807,-0.004021543035740034,0.010148940824486417,0.014685500037341337,False
conf,W5,5,provider,failed_dropped,winter,3,wis,m1_v3_raw,m1_lightgbm_v3_raw,att_type1,alongside,124,612,1.371256315003147,-2.596952903278901,6.009062978607882,0.003486912588298363,-0.006008022621399107,0.015480499045220173,612,614,0,2,True,False,-0.012620328141710076,-0.001884464104655098,0.013944294484694043,0.02154496697695305,False
conf,W5,5,provider,failed_dropped,winter,3,wis,m1_v3_raw,m1_lightgbm_v3_raw,adm_via_ae,alongside,137,677,-1.4822384704934208,-3.9573520189985545,0.4520709964012541,-0.01354051949973234,-0.03448128162226062,0.004543509574043253,677,679,0,2,True,False,-0.04423056181013153,-0.020974948966500075,0.00044831072052051505,0.013894626646848684,False
