split,origin_set,n_origins,level,g1,months,horizons,metric,key,model,target,role,n_units_asof,n_pairs_asof,diff_asof,diff_lo_asof,diff_hi_asof,rel_asof,rel_lo_asof,rel_hi_asof,n_ref_asof,n_tested_asof,unpaired_ref_asof,unpaired_tested_asof,evaluable_asof,n_units_final,n_pairs_final,diff_final,diff_lo_final,diff_hi_final,rel_final,rel_lo_final,rel_hi_final,n_ref_final,n_tested_final,unpaired_ref_final,unpaired_tested_final,evaluable_final,delta_pp,exceeds
conf,W5,5,provider,as_issued,winter,3,wis,b1,b1_ets,att_all,decides,187,920,-383.1544445839354,-543.7703209077806,-252.35784611397153,-0.4583780842188544,-0.5596917218074775,-0.3451780604983477,942,920,22,0,True,187,922,-384.21211988007815,-544.9238415365969,-254.36158919246648,-0.4598853045428678,-0.5617874939127261,-0.34622249225045193,942,922,20,0,True,-0.1507220324013403,False
conf,W5,5,provider,as_issued,winter,3,wis,b1,b1_ets,att_type1,decides,122,607,-269.03310853812854,-356.46337239027457,-188.11120701635903,-0.4203437615578607,-0.5027004344081625,-0.3185028362310524,608,607,1,0,True,122,607,-269.0194198479104,-356.46308890844153,-188.09727300522954,-0.4203240300072878,-0.5026912475523181,-0.31850196078137083,608,607,1,0,True,0.001973155057288789,False
conf,W5,5,provider,as_issued,winter,3,wis,b1,b1_ets,adm_via_ae,decides,135,671,-105.9234350157116,-132.8157467355144,-81.1401452208949,-0.5201946282004839,-0.5737385076311833,-0.45832925269676744,672,672,1,1,True,135,671,-105.86187193651106,-132.83048710695005,-81.14938535318178,-0.5206762057673808,-0.5737480133446169,-0.45847547019761326,672,672,1,1,True,-0.04815775668969291,False
conf,W5,5,provider,as_issued,winter,3,wis,b2,b2_stl_arima,att_all,decides,187,920,-374.98634387712093,-541.098570896856,-242.3137461911363,-0.44860636316323177,-0.5488924208903171,-0.33500337454757595,942,920,22,0,True,187,922,-376.35113058923184,-542.105379740468,-243.71596067246554,-0.450476040058558,-0.5500738433217832,-0.3373435545076272,942,922,20,0,True,-0.18696768953262444,False
conf,W5,5,provider,as_issued,winter,3,wis,b2,b2_stl_arima,att_type1,decides,122,607,-245.13862464316665,-339.2001612431754,-166.45768467086384,-0.38301044858583067,-0.4751132972462843,-0.27491202620459426,608,607,1,0,True,122,607,-245.07810929871587,-339.0621761461062,-166.337684963111,-0.3829174065769696,-0.47511232179427637,-0.27484869766722786,608,607,1,0,True,0.009304200886106617,False
conf,W5,5,provider,as_issued,winter,3,wis,b2,b2_stl_arima,adm_via_ae,decides,135,671,-101.47931265115866,-129.77796422090393,-77.68210282909658,-0.4983693486411195,-0.5523543176954061,-0.4362514091516107,672,672,1,1,True,135,671,-101.46277561825208,-129.77799659921394,-77.68217186020291,-0.4990394753950892,-0.5530759578379109,-0.43658516105761525,672,672,1,1,True,-0.06701267539697131,False
conf,W5,5,provider,as_issued,winter,3,wis,m1,m1_lightgbm,att_all,decides,190,940,-489.90202581633747,-634.5280947992266,-361.223609899415,-0.5929711232411539,-0.673187629599553,-0.4878237984625169,942,944,2,4,True,190,940,-489.9456351606433,-634.530223151501,-361.2713747851221,-0.5931454580594953,-0.6734315653811753,-0.4879122262549607,942,946,2,6,True,-0.017433481834139286,False
conf,W5,5,provider,as_issued,winter,3,wis,m1,m1_lightgbm,att_type1,decides,123,608,-302.81005566971515,-385.56518919361577,-217.16834679869262,-0.47699568508759715,-0.5707730260644324,-0.354069489825267,608,612,0,4,True,123,608,-302.7931565446886,-385.5454839836814,-217.15054281357288,-0.47697094423065567,-0.5707761546021854,-0.35405874306906016,608,614,0,6,True,0.002474085694148531,False
conf,W5,5,provider,as_issued,winter,3,wis,m1,m1_lightgbm,adm_via_ae,decides,136,672,-77.81247151329224,-103.60549794885839,-54.47003564658717,-0.3849711253808574,-0.4561456233760865,-0.30492567700395773,672,677,0,5,True,136,672,-77.96564067390261,-103.31210731212275,-54.969247989814924,-0.38631053693070627,-0.45702267755563913,-0.30656143206171876,672,679,0,7,True,-0.13394115498488457,False
conf,W5,5,provider,as_issued,winter,3,wis,m1_v3_raw,m1_lightgbm_v3_raw,att_all,alongside,190,940,-408.148278794076,-556.6905903492811,-280.6705344414053,-0.49401743730735104,-0.5830271286451209,-0.38206334478492543,942,944,2,4,True,190,940,-407.4264690118798,-557.4464445515275,-280.165755535407,-0.4932448464580722,-0.5831037305283278,-0.3798236414410522,942,946,2,6,True,0.07725908492788314,False
conf,W5,5,provider,as_issued,winter,3,wis,m1_v3_raw,m1_lightgbm_v3_raw,att_type1,alongside,123,608,-238.37243628675964,-325.48200879244973,-151.67671740929856,-0.3754915711142093,-0.4675786451087915,-0.2565520703112709,608,612,0,4,True,123,608,-236.98752853675416,-322.3670509613351,-149.24541146284582,-0.3733114927264951,-0.4647477985068397,-0.25487249157664144,608,614,0,6,True,0.21800783877141683,False
conf,W5,5,provider,as_issued,winter,3,wis,m1_v3_raw,m1_lightgbm_v3_raw,adm_via_ae,alongside,136,672,-91.85654498846374,-118.83549205333881,-68.38919145637583,-0.45445308200711165,-0.5178637460593878,-0.3807656885176032,672,677,0,5,True,136,672,-93.0463385384061,-121.60023771410334,-68.83171309652332,-0.4610336128776238,-0.5275125556152339,-0.38340846760586367,672,679,0,7,True,-0.6580530870512136,False
