split,origin_set,origin,target,last_period,E_o,window_start,truncated,n_both,n_late,n_withdrawn,V,L,Wd,sum_asof,sum_final,lost_originals_n,lost_originals_final,late_larger
conf,CONF21,2024-01-01,att_all,2023-12-01,2023-12-01,2023-01-01,False,2419,19,0,-1622.0,42791.0,0.0,24723310.0,24764479.0,0,0.0,True
conf,CONF21,2024-01-01,att_type1,2023-12-01,2023-12-01,2023-01-01,False,2419,19,0,-247.0,0.0,0.0,15809937.0,15809690.0,0,0.0,False
conf,CONF21,2024-01-01,adm_via_ae,2023-12-01,2023-12-01,2023-01-01,False,2419,19,0,42.0,0.0,0.0,4660203.0,4660245.0,0,0.0,False
conf,CONF21,2024-02-01,att_all,2024-01-01,2024-01-01,2023-02-01,False,2413,21,0,-1758.0,48357.0,0.0,24973035.0,25019634.0,0,0.0,True
conf,CONF21,2024-02-01,att_type1,2024-01-01,2024-01-01,2023-02-01,False,2413,21,0,-272.0,0.0,0.0,15963019.0,15962747.0,0,0.0,False
conf,CONF21,2024-02-01,adm_via_ae,2024-01-01,2024-01-01,2023-02-01,False,2413,21,0,40.0,0.0,0.0,4698170.0,4698210.0,0,0.0,False
conf,CONF21,2024-03-01,att_all,2024-02-01,2024-02-01,2023-03-01,False,2407,23,0,-1909.0,53627.0,0.0,25203896.0,25255614.0,0,0.0,True
conf,CONF21,2024-03-01,att_type1,2024-02-01,2024-02-01,2023-03-01,False,2407,23,0,-264.0,0.0,0.0,16102486.0,16102222.0,0,0.0,False
conf,CONF21,2024-03-01,adm_via_ae,2024-02-01,2024-02-01,2023-03-01,False,2407,23,0,39.0,0.0,0.0,4739877.0,4739916.0,0,0.0,False
conf,CONF21,2024-04-01,att_all,2024-03-01,2024-03-01,2023-04-01,False,2398,26,0,625.0,67986.0,0.0,25383485.0,25452096.0,0,0.0,True
conf,CONF21,2024-04-01,att_type1,2024-03-01,2024-03-01,2023-04-01,False,2398,26,0,-294.0,0.0,0.0,16191124.0,16190830.0,0,0.0,False
conf,CONF21,2024-04-01,adm_via_ae,2024-03-01,2024-03-01,2023-04-01,False,2398,26,0,238.0,0.0,0.0,4777465.0,4777703.0,0,0.0,False
conf,CONF21,2024-05-01,att_all,2024-04-01,2024-04-01,2023-05-01,False,2392,25,0,2688.0,71883.0,0.0,25577822.0,25652393.0,0,0.0,True
