split,origin_set,n_origins,model,level,mode,stat,months,g1,oyear,horizon,point,lo,hi,lo_within,hi_within,boot_mean_minus_point,n_rows,n_series,n_units,zero_den,zero_den_within,degenerate
conf,CONF19,19,b1_ets,icb,asof,cov90,all,as_issued,2024,1,0.9760802469135802,0.9603135698723935,0.9895897633744857,0.9645061728395061,0.9861111111111112,0.00039923189198098896,1296,36,12,1,0,False
conf,CONF19,19,b1_ets,icb,asof,cov90,all,as_issued,2024,2,0.9691358024691358,0.9465772396327952,0.9887632275132274,0.9544753086419753,0.9814814814814815,0.0005678695975265269,1296,36,12,1,0,False
conf,CONF19,19,b1_ets,icb,asof,cov90,all,as_issued,2024,3,0.9691358024691358,0.9438616071428572,0.9873737373737373,0.9490740740740741,0.9838155864197531,0.0003139504307264618,1296,36,12,1,0,False
conf,CONF19,19,b1_ets,icb,asof,cov90,all,as_issued,2024,4,0.9699074074074074,0.9421191077441078,0.9907407407407407,0.9490740740740741,0.9853587962962963,0.0007166419601999374,1296,36,12,1,0,False
conf,CONF19,19,b1_ets,icb,asof,cov90,all,as_issued,2024,5,0.9776234567901234,0.9537037037037037,0.9945987654320988,0.9591049382716049,0.9922839506172839,-0.00038208009496176754,1296,36,12,1,0,False
conf,CONF19,19,b1_ets,icb,asof,cov90,all,as_issued,2024,6,0.9799382716049383,0.9575925925925927,0.996141975308642,0.9621913580246914,0.9930555555555556,-0.0002459587759360282,1296,36,12,1,0,False
conf,CONF19,19,b1_ets,icb,asof,cov90,all,as_issued,2025,1,0.9775132275132276,0.9570601851851852,0.9969135802469136,0.9656084656084656,0.9880952380952381,-0.000629390051383738,756,36,7,32,0,False
conf,CONF19,19,b1_ets,icb,asof,cov90,all,as_issued,2025,2,0.9828042328042328,0.9600115740740741,0.9953703703703703,0.9722222222222222,0.9920634920634921,-0.0012164479539902295,756,36,7,32,0,False
conf,CONF19,19,b1_ets,icb,asof,cov90,all,as_issued,2025,3,0.9920634920634921,0.9778858024691358,1.0,0.9828042328042328,0.9986772486772487,0.00045142605157000304,756,36,7,32,0,False
conf,CONF19,19,b1_ets,icb,asof,cov90,all,as_issued,2025,4,0.9907407407407407,0.9791666666666666,1.0,0.9801587301587301,0.9973544973544973,0.0034187981714985938,756,36,7,32,0,False
conf,CONF19,19,b1_ets,icb,asof,cov90,all,as_issued,2025,5,0.9880952380952381,0.9722222222222222,1.0,0.9774801587301588,0.9973544973544973,0.004268352550402921,756,36,7,32,0,False
conf,CONF19,19,b1_ets,icb,asof,cov90,all,as_issued,2025,6,0.9867724867724867,0.9699524176954732,1.0,0.9735449735449735,0.996031746031746,0.0030588608111935534,756,36,7,32,0,False
