split,origin_set,n_origins,model,level,mode,stat,months,g1,horizon,point,lo,hi,lo_within,hi_within,boot_mean_minus_point,n_rows,n_series,n_units,zero_den,zero_den_within,degenerate
conf,CONF21,21,m1_lightgbm_v3_raw+pooled,provider,asof,cov90,all,as_issued,1,0.876557673873682,0.8518678173078279,0.9057164167628061,0.8680229609179028,0.8858324453374113,0.004062923625911208,9389,197,19,0,0,False
conf,CONF21,21,m1_lightgbm_v3_raw+pooled,provider,asof,cov90,all,as_issued,2,0.8865550698368696,0.8648678306172266,0.9106151841993749,0.8748026543419772,0.8985734538325946,0.0025568094440675537,9379,196,19,0,0,False
conf,CONF21,21,m1_lightgbm_v3_raw+pooled,provider,asof,cov90,all,as_issued,3,0.8878454807384484,0.8646147602288028,0.9162687621401099,0.8737543795347129,0.9010707938819769,0.0060801091098120486,9371,194,19,0,0,False
conf,CONF21,21,m1_lightgbm_v3_raw+pooled,provider,asof,cov90,all,as_issued,4,0.8921086398631308,0.878365881984423,0.9188036965123713,0.8772534330377741,0.9072574304392298,0.0062602786262956345,9352,194,19,0,0,False
conf,CONF21,21,m1_lightgbm_v3_raw+pooled,provider,asof,cov90,all,as_issued,5,0.8923142795975166,0.8746858824607359,0.9241681378445142,0.8766460458940833,0.9072211562239756,0.00764458539070223,9342,194,19,0,0,False
conf,CONF21,21,m1_lightgbm_v3_raw+pooled,provider,asof,cov90,all,as_issued,6,0.9013073296185169,0.8835232206283534,0.9242879239503333,0.884543558936946,0.9169512688813227,0.002775767576658761,9332,194,19,0,0,False
conf,CONF21,21,m1_lightgbm_v3_raw+pooled,provider,asof,cov50,all,as_issued,1,0.3979124507402279,0.37159259116596516,0.4405484191254173,0.3837753662375857,0.41398790326707785,0.007757072549962218,9389,197,19,0,0,False
conf,CONF21,21,m1_lightgbm_v3_raw+pooled,provider,asof,cov50,all,as_issued,2,0.4046273589934961,0.3610964898871907,0.44582189810329037,0.39048172620171195,0.41930275827709934,-0.0012960368828459634,9379,196,19,0,0,False
conf,CONF21,21,m1_lightgbm_v3_raw+pooled,provider,asof,cov50,all,as_issued,3,0.41489702272969803,0.3730514910165247,0.4509868390086512,0.3966425417855827,0.43271080890843977,0.001735828056254718,9371,194,19,0,0,False
conf,CONF21,21,m1_lightgbm_v3_raw+pooled,provider,asof,cov50,all,as_issued,4,0.4122112917023097,0.38324870602865824,0.4692592896223387,0.3939662653216184,0.43118679930093257,0.013332354101818489,9352,194,19,0,0,False
conf,CONF21,21,m1_lightgbm_v3_raw+pooled,provider,asof,cov50,all,as_issued,5,0.4190751445086705,0.3851923163500139,0.48069229339341224,0.40146860094524595,0.4391654514056062,0.01224821906798712,9342,194,19,0,0,False
conf,CONF21,21,m1_lightgbm_v3_raw+pooled,provider,asof,cov50,all,as_issued,6,0.42766823831976,0.3983775157564984,0.47256821019308276,0.40964334920901896,0.448116071179927,0.005501556856068013,9332,194,19,0,0,False
