split,origin_set,n_origins,model,level,mode,stat,months,g1,target,horizon,point,lo,hi,lo_within,hi_within,boot_mean_minus_point,n_rows,n_series,n_units,zero_den,zero_den_within,degenerate
conf,CONF19,19,m1_lightgbm_v3_raw+pooled,provider,asof,cov90,all,as_issued,adm_via_ae,1,0.8571428571428571,0.8341519879563358,0.883069552019106,0.8435072504897729,0.8713283936965165,0.001158719844210454,2576,139,19,0,0,False
conf,CONF19,19,m1_lightgbm_v3_raw+pooled,provider,asof,cov90,all,as_issued,adm_via_ae,2,0.857031857031857,0.8286426374203506,0.8893900869786894,0.8363824677812299,0.8772034847666486,0.0031090434257248223,2574,138,19,0,0,False
conf,CONF19,19,m1_lightgbm_v3_raw+pooled,provider,asof,cov90,all,as_issued,adm_via_ae,3,0.8581422464049747,0.8312475505521643,0.890008647706525,0.8358222246200132,0.8781354493207941,0.0037889528564633013,2573,138,19,0,0,False
conf,CONF19,19,m1_lightgbm_v3_raw+pooled,provider,asof,cov90,all,as_issued,adm_via_ae,4,0.8658109684947491,0.8369806341562539,0.8935948629698317,0.841566454893695,0.8898588786540036,0.001084099780243708,2571,138,19,0,0,False
conf,CONF19,19,m1_lightgbm_v3_raw+pooled,provider,asof,cov90,all,as_issued,adm_via_ae,5,0.866874270144025,0.8356075860392356,0.9021572236607618,0.84102004443033,0.8908022982129475,0.004213413910402086,2569,138,19,0,0,False
conf,CONF19,19,m1_lightgbm_v3_raw+pooled,provider,asof,cov90,all,as_issued,adm_via_ae,6,0.8659914296844565,0.8320766093589401,0.9001605422674296,0.8381333321968018,0.8919760527161684,-0.00020919930775875617,2567,138,19,0,0,False
conf,CONF19,19,m1_lightgbm_v3_raw+pooled,provider,asof,cov90,all,as_issued,att_all,1,0.9089897021987198,0.8854822372306422,0.938528760577341,0.8980107773446457,0.920312467317467,0.005090522656568841,3593,195,19,0,0,False
conf,CONF19,19,m1_lightgbm_v3_raw+pooled,provider,asof,cov90,all,as_issued,att_all,2,0.9146681539319577,0.8930221607199745,0.9429546623338366,0.9006832631887249,0.928939561958878,0.006621150774827167,3586,194,19,0,0,False
conf,CONF19,19,m1_lightgbm_v3_raw+pooled,provider,asof,cov90,all,as_issued,att_all,3,0.9206703910614525,0.8951095622572569,0.9538141781033673,0.905380516193987,0.9358216722613535,0.007657604024367659,3580,192,19,0,0,False
conf,CONF19,19,m1_lightgbm_v3_raw+pooled,provider,asof,cov90,all,as_issued,att_all,4,0.9297509095997761,0.9072159132217585,0.954493692128737,0.9127145098489954,0.9464577341375366,0.002724201628051426,3573,192,19,0,0,False
conf,CONF19,19,m1_lightgbm_v3_raw+pooled,provider,asof,cov90,all,as_issued,att_all,5,0.9282310064479955,0.9037064710996257,0.9573425020834172,0.9105900229001744,0.9452190737576561,0.004435338052048765,3567,192,19,0,0,False
conf,CONF19,19,m1_lightgbm_v3_raw+pooled,provider,asof,cov90,all,as_issued,att_all,6,0.9399045212019096,0.9193815640658995,0.9631980367470906,0.9246697734331819,0.9556409365898415,0.0019167690167125606,3561,192,19,0,0,False
conf,CONF19,19,m1_lightgbm_v3_raw+pooled,provider,asof,cov90,all,as_issued,att_type1,1,0.8417884780739467,0.8018575626602674,0.8977325277694698,0.8267219109471079,0.8588160140429413,0.010972174954587466,2326,124,19,0,0,False
conf,CONF19,19,m1_lightgbm_v3_raw+pooled,provider,asof,cov90,all,as_issued,att_type1,2,0.8640860215053764,0.8282972931349991,0.9066761460101868,0.8453796462045443,0.8841437088134205,0.004177035907740878,2325,124,19,0,0,False
conf,CONF19,19,m1_lightgbm_v3_raw+pooled,provider,asof,cov90,all,as_issued,att_type1,3,0.8666092943201377,0.8166911581546636,0.9202459309936032,0.8423412861842837,0.889577254904715,0.009289747011350546,2324,124,19,0,0,False
conf,CONF19,19,m1_lightgbm_v3_raw+pooled,provider,asof,cov90,all,as_issued,att_type1,4,0.8772609819121447,0.8399432950191571,0.9241644366240208,0.8498861236719035,0.9029305848374228,0.008694398769412803,2322,124,19,0,0,False
conf,CONF19,19,m1_lightgbm_v3_raw+pooled,provider,asof,cov90,all,as_issued,att_type1,5,0.8741379310344828,0.8358483294420476,0.9261640946121423,0.8442039482031427,0.9013090838917653,0.011065509189365552,2320,124,19,0,0,False
