split,origin_set,n_origins,model,level,mode,stat,months,g1,horizon,point,lo,hi,lo_within,hi_within,boot_mean_minus_point,n_rows,n_series,n_units,zero_den,zero_den_within,degenerate
conf,CONF19,19,m1_lightgbm_v3_raw+pooled,provider,asof,cov90,all,failed_dropped,1,0.8748675691583284,0.8514072933064777,0.9056553652554503,0.8671889390835015,0.8835008909555363,0.00548650220429181,8495,197,19,0,0,False
conf,CONF19,19,m1_lightgbm_v3_raw+pooled,provider,asof,cov90,all,failed_dropped,2,0.8833235120801414,0.8646995799934384,0.9091664240244683,0.8717759700280464,0.8953630341696124,0.004869437855157699,8485,196,19,0,0,False
conf,CONF19,19,m1_lightgbm_v3_raw+pooled,provider,asof,cov90,all,failed_dropped,3,0.8868703550784476,0.8621031083175416,0.916908303109634,0.8729428102244178,0.9002597545173338,0.0069111349158378355,8477,194,19,0,0,False
conf,CONF19,19,m1_lightgbm_v3_raw+pooled,provider,asof,cov90,all,failed_dropped,4,0.8959366879281834,0.8805130264513922,0.9198264993416702,0.881213799673545,0.9105960377153808,0.003849671991121184,8466,194,19,0,0,False
conf,CONF19,19,m1_lightgbm_v3_raw+pooled,provider,asof,cov90,all,failed_dropped,5,0.8947492904446547,0.8751505620107783,0.9252618699043448,0.8787744456311154,0.9100440297825269,0.006173420877308655,8456,194,19,0,0,False
conf,CONF19,19,m1_lightgbm_v3_raw+pooled,provider,asof,cov90,all,failed_dropped,6,0.9025574236324887,0.8840627697936319,0.924610426166751,0.8860271657653758,0.9178038236952745,0.001918128363436189,8446,194,19,0,0,False
conf,CONF19,19,m1_lightgbm_v3_raw+pooled,provider,asof,cov50,all,failed_dropped,1,0.3992937021777516,0.37159389722340763,0.44128765692276356,0.3862143318315157,0.4140255881639583,0.007099962680218785,8495,197,19,0,0,False
conf,CONF19,19,m1_lightgbm_v3_raw+pooled,provider,asof,cov50,all,failed_dropped,2,0.3930465527401296,0.3594848406567314,0.4380664957284191,0.37905851719530687,0.4073902272811502,0.0065031182274091215,8485,196,19,0,0,False
conf,CONF19,19,m1_lightgbm_v3_raw+pooled,provider,asof,cov50,all,failed_dropped,3,0.4093429279226141,0.37209521661727263,0.44859535800030137,0.39164552475835207,0.42785997411909293,0.005770285437856348,8477,194,19,0,0,False
conf,CONF19,19,m1_lightgbm_v3_raw+pooled,provider,asof,cov50,all,failed_dropped,4,0.41802504134183793,0.38666519052200027,0.46926520712380204,0.40015932783128083,0.4366661949471075,0.009765302152974942,8466,194,19,0,0,False
conf,CONF19,19,m1_lightgbm_v3_raw+pooled,provider,asof,cov50,all,failed_dropped,5,0.4225402081362346,0.3856406391914833,0.48176495138454195,0.4046839402694039,0.4437599164095576,0.01001134976545559,8456,194,19,0,0,False
conf,CONF19,19,m1_lightgbm_v3_raw+pooled,provider,asof,cov50,all,failed_dropped,6,0.4291972531375799,0.39796757850821113,0.4728480528391112,0.4114465314748459,0.4491258137345599,0.004360941437674737,8446,194,19,0,0,False
