config,learning_rate,num_leaves,min_data_in_leaf,num_rounds,lambda_l2,feature_fraction,calibration_months,wis_mean,mase_mean,cov90_mean,scored_rows,wis_adm_via_ae,wis_att_all,wis_att_type1
0,0.1,31,50,200,1.0,0.7,12,300.1923894646343,1.1587547710882709,0.7680749914886619,52906,128.22019785032035,390.22466749044287,382.13230305313954
5,0.05,15,20,400,1.0,0.7,12,300.222184439822,1.1565858578744461,0.7643011009751427,52906,128.91388759636757,391.21049367357864,380.54217204951976
12,0.1,31,50,400,10.0,0.7,12,303.43510263879625,1.166147066181263,0.7664828799591286,52906,129.92639308920133,396.38081729235523,383.9980975348321
10,0.05,15,50,400,10.0,0.9,12,305.57384081627674,1.167810485144051,0.7670021407296331,52906,131.81554626412787,396.27442838546295,388.6315477992394
6,0.03,15,20,800,10.0,0.9,12,306.1753926461543,1.1707783680854853,0.768161455561348,52906,131.9306581198678,397.11179843021955,389.4837213883757
11,0.1,31,50,800,10.0,0.7,12,306.39185950191836,1.1743526303636338,0.7646281032984382,52906,131.23598817580844,400.3258221408388,387.6137681891079
13,0.1,15,20,800,10.0,0.7,12,307.3003877809545,1.1831761775542375,0.7618364606891777,52906,131.79790691488904,401.30562612741943,388.79763030055494
4,0.1,63,100,200,1.0,0.9,12,308.78005268048116,1.174785871113856,0.7663097061667296,52906,132.97543519561208,399.26737757537984,394.09734527045157
3,0.1,63,20,400,10.0,0.9,12,308.79824672792137,1.178052054839642,0.7703277282382558,52906,130.82850830027036,403.3095328674267,392.2566990160669
2,0.1,63,50,400,10.0,0.9,12,309.9239855614076,1.1779127597312564,0.771405623941515,52906,132.49359503998818,402.16125425416055,395.117107390074
15,0.1,15,20,800,1.0,0.9,12,313.2438343321823,1.192527914663944,0.7696366567424229,52906,135.03584777099422,409.41704885384684,395.2786063717058
1,0.03,15,100,400,10.0,0.9,24,316.5963809505861,1.261823694359226,0.7970178266340827,52906,136.77875070903355,414.7776972506225,398.2326948921023
8,0.05,63,100,400,10.0,0.9,24,319.18040736661425,1.279550133600842,0.7928125320347302,52906,138.80882318300007,416.092655701178,402.6397432156648
7,0.05,63,50,400,10.0,0.9,24,322.7303176390066,1.3454857321980314,0.8014249900568134,52906,148.30933515856995,418.9607497880875,400.92086797036245
14,0.05,63,50,800,1.0,0.7,24,326.3935244504441,1.407828304320905,0.8001792999031944,52906,160.83723795603765,420.1326320072849,398.2107033880098
9,0.05,63,20,400,10.0,0.9,24,327.76024579524943,1.4751149221349928,0.8054680788810528,52906,166.50008062255242,420.60294469992976,396.1777120632662
